Cód. Bairros,Nome Bairros,Dia,Mês,Pluviometria
PA,Parelheiros ,16,1,1.2000000000000002
AD,Cidade Ademar,16,1,0.7
MB,M Boi Mirim,17,1,0.0
CL,Campo Limpo,17,1,0.0
CS,Capela do Socorro,17,1,0.0
IP,Ipiranga,17,1,0.5
JA,Jabaquara,17,1,0.4
SA,Santo Amaro,17,1,0.1
VM,Vila Mariana,17,1,0.4
PA,Parelheiros ,17,1,0.1
AD,Cidade Ademar,17,1,0.1
MB,M Boi Mirim,18,1,0.0
CL,Campo Limpo,18,1,0.0
CS,Capela do Socorro,18,1,0.0
IP,Ipiranga,18,1,0.1
JA,Jabaquara,18,1,0.0
SA,Santo Amaro,18,1,0.0
VM,Vila Mariana,18,1,0.0
PA,Parelheiros ,18,1,0.0
AD,Cidade Ademar,18,1,0.0
MB,M Boi Mirim,19,1,0.0
CL,Campo Limpo,19,1,0.0
CS,Capela do Socorro,19,1,0.0
IP,Ipiranga,19,1,0.0
JA,Jabaquara,19,1,0.0
SA,Santo Amaro,19,1,0.0
VM,Vila Mariana,19,1,0.0
PA,Parelheiros ,19,1,0.0
AD,Cidade Ademar,19,1,0.0
MB,M Boi Mirim,20,1,17.8
CL,Campo Limpo,20,1,5.8
CS,Capela do Socorro,20,1,31.3
IP,Ipiranga,20,1,7.199999999999999
JA,Jabaquara,20,1,8.799999999999999
SA,Santo Amaro,20,1,8.299999999999999
VM,Vila Mariana,20,1,6.3
PA,Parelheiros ,20,1,36.1
AD,Cidade Ademar,20,1,16.7
MB,M Boi Mirim,21,1,0.0
CL,Campo Limpo,21,1,0.0
CS,Capela do Socorro,21,1,0.3
IP,Ipiranga,21,1,0.1
JA,Jabaquara,21,1,0.0
SA,Santo Amaro,21,1,0.1
VM,Vila Mariana,21,1,0.1
PA,Parelheiros ,21,1,0.5
AD,Cidade Ademar,21,1,0.0
MB,M Boi Mirim,22,1,0.0
CL,Campo Limpo,22,1,0.0
CS,Capela do Socorro,22,1,3.9
IP,Ipiranga,22,1,0.2
JA,Jabaquara,22,1,0.3
SA,Santo Amaro,22,1,0.1
VM,Vila Mariana,22,1,0.0
PA,Parelheiros ,22,1,4.5
AD,Cidade Ademar,22,1,1.8
MB,M Boi Mirim,23,1,19.8
CL,Campo Limpo,23,1,21.3
CS,Capela do Socorro,23,1,14.999999999999998
IP,Ipiranga,23,1,1.8
JA,Jabaquara,23,1,5.7
SA,Santo Amaro,23,1,6.300000000000001
VM,Vila Mariana,23,1,1.7
PA,Parelheiros ,23,1,19.7
AD,Cidade Ademar,23,1,6.6000000000000005
MB,M Boi Mirim,24,1,0.0
CL,Campo Limpo,24,1,0.2
CS,Capela do Socorro,24,1,0.0
IP,Ipiranga,24,1,0.1
JA,Jabaquara,24,1,0.0
SA,Santo Amaro,24,1,0.1
VM,Vila Mariana,24,1,0.3
PA,Parelheiros ,24,1,0.2
AD,Cidade Ademar,24,1,0.0
MB,M Boi Mirim,25,1,0.0
CL,Campo Limpo,25,1,0.0
CS,Capela do Socorro,25,1,0.0
IP,Ipiranga,25,1,0.0
JA,Jabaquara,25,1,0.0
SA,Santo Amaro,25,1,0.0
VM,Vila Mariana,25,1,0.0
PA,Parelheiros ,25,1,0.0
AD,Cidade Ademar,25,1,0.0
MB,M Boi Mirim,26,1,0.0
CL,Campo Limpo,26,1,0.0
CS,Capela do Socorro,26,1,0.0
IP,Ipiranga,26,1,0.0
JA,Jabaquara,26,1,0.0
SA,Santo Amaro,26,1,0.0
VM,Vila Mariana,26,1,0.0
PA,Parelheiros ,26,1,0.0
AD,Cidade Ademar,26,1,0.0
MB,M Boi Mirim,27,1,0.0
CL,Campo Limpo,27,1,0.0
CS,Capela do Socorro,27,1,0.0
IP,Ipiranga,27,1,0.0
JA,Jabaquara,27,1,0.0
SA,Santo Amaro,27,1,0.0
VM,Vila Mariana,27,1,0.0
PA,Parelheiros ,27,1,0.0
AD,Cidade Ademar,27,1,0.0
MB,M Boi Mirim,28,1,12.9
CL,Campo Limpo,28,1,14.5
CS,Capela do Socorro,28,1,2.9
IP,Ipiranga,28,1,3.9
JA,Jabaquara,28,1,5.9
SA,Santo Amaro,28,1,10.2
VM,Vila Mariana,28,1,14.5
PA,Parelheiros ,28,1,1.2000000000000002
AD,Cidade Ademar,28,1,3.1
MB,M Boi Mirim,29,1,5.8
CL,Campo Limpo,29,1,0.9
CS,Capela do Socorro,29,1,17.6
IP,Ipiranga,29,1,21.8
JA,Jabaquara,29,1,42.6
SA,Santo Amaro,29,1,20.1
VM,Vila Mariana,29,1,6.0
PA,Parelheiros ,29,1,15.9
AD,Cidade Ademar,29,1,42.3
MB,M Boi Mirim,30,1,3.0
CL,Campo Limpo,30,1,2.1
CS,Capela do Socorro,30,1,4.1
IP,Ipiranga,30,1,1.4
JA,Jabaquara,30,1,1.7
SA,Santo Amaro,30,1,1.7000000000000002
VM,Vila Mariana,30,1,1.2
PA,Parelheiros ,30,1,1.3
AD,Cidade Ademar,30,1,3.9
MB,M Boi Mirim,31,1,20.2
CL,Campo Limpo,31,1,21.2
CS,Capela do Socorro,31,1,16.4
IP,Ipiranga,31,1,19.700000000000003
JA,Jabaquara,31,1,25.8
SA,Santo Amaro,31,1,23.4
VM,Vila Mariana,31,1,16.400000000000002
PA,Parelheiros ,31,1,9.5
AD,Cidade Ademar,31,1,31.4
MB,M Boi Mirim,1,2,0.7000000000000001
CL,Campo Limpo,1,2,0.7999999999999999
CS,Capela do Socorro,1,2,1.2
IP,Ipiranga,1,2,15.7
JA,Jabaquara,1,2,6.699999999999999
SA,Santo Amaro,1,2,3.5
VM,Vila Mariana,1,2,9.8
PA,Parelheiros ,1,2,1.1
AD,Cidade Ademar,1,2,2.0
MB,M Boi Mirim,2,2,3.0
CL,Campo Limpo,2,2,1.3
CS,Capela do Socorro,2,2,17.5
IP,Ipiranga,2,2,3.0
JA,Jabaquara,2,2,6.4
SA,Santo Amaro,2,2,2.8
VM,Vila Mariana,2,2,0.7
PA,Parelheiros ,2,2,16.3
AD,Cidade Ademar,2,2,20.9
MB,M Boi Mirim,3,2,6.1
CL,Campo Limpo,3,2,9.8
CS,Capela do Socorro,3,2,6.5
IP,Ipiranga,3,2,7.199999999999999
JA,Jabaquara,3,2,11.9
SA,Santo Amaro,3,2,11.8
VM,Vila Mariana,3,2,8.4
PA,Parelheiros ,3,2,2.1
AD,Cidade Ademar,3,2,11.9
MB,M Boi Mirim,4,2,0.3
CL,Campo Limpo,4,2,0.3
CS,Capela do Socorro,4,2,0.4
IP,Ipiranga,4,2,0.6
JA,Jabaquara,4,2,0.4
SA,Santo Amaro,4,2,0.2
VM,Vila Mariana,4,2,0.7999999999999999
PA,Parelheiros ,4,2,1.0
AD,Cidade Ademar,4,2,0.2
MB,M Boi Mirim,5,2,7.3
CL,Campo Limpo,5,2,6.9
CS,Capela do Socorro,5,2,7.6
IP,Ipiranga,5,2,3.2
JA,Jabaquara,5,2,3.5
SA,Santo Amaro,5,2,3.9
VM,Vila Mariana,5,2,2.4000000000000004
PA,Parelheiros ,5,2,3.8
AD,Cidade Ademar,5,2,3.4
MB,M Boi Mirim,6,2,1.8
CL,Campo Limpo,6,2,2.0
CS,Capela do Socorro,6,2,7.2
IP,Ipiranga,6,2,14.6
JA,Jabaquara,6,2,32.9
SA,Santo Amaro,6,2,13.6
VM,Vila Mariana,6,2,10.2
PA,Parelheiros ,6,2,22.5
AD,Cidade Ademar,6,2,18.6
MB,M Boi Mirim,7,2,18.7
CL,Campo Limpo,7,2,32.8
CS,Capela do Socorro,7,2,13.6
IP,Ipiranga,7,2,44.0
