Cod_Bairros,Nome_Bairros,Data,Pluviometria
IP,Ipiranga,15-01-23,38.6
JA,Jabaquara,15-01-23,35.2
SA,Santo Amaro,15-01-23,37.7
VM,Vila Mariana,15-01-23,24.4
PA,Parelheiros ,15-01-23,1.4
AD,Cidade Ademar,15-01-23,32.8
MB,M Boi Mirim,16-01-23,0.9
CL,Campo Limpo,16-01-23,8.4
CS,Capela do Socorro,16-01-23,0.3
IP,Ipiranga,16-01-23,4.1
JA,Jabaquara,16-01-23,2.2
SA,Santo Amaro,16-01-23,3.9
VM,Vila Mariana,16-01-23,6.5
PA,Parelheiros ,16-01-23,1.2000000000000002
AD,Cidade Ademar,16-01-23,0.7
MB,M Boi Mirim,17-01-23,0.0
CL,Campo Limpo,17-01-23,0.0
CS,Capela do Socorro,17-01-23,0.0
IP,Ipiranga,17-01-23,0.5
JA,Jabaquara,17-01-23,0.4
SA,Santo Amaro,17-01-23,0.1
VM,Vila Mariana,17-01-23,0.4
PA,Parelheiros ,17-01-23,0.1
AD,Cidade Ademar,17-01-23,0.1
MB,M Boi Mirim,18-01-23,0.0
CL,Campo Limpo,18-01-23,0.0
CS,Capela do Socorro,18-01-23,0.0
IP,Ipiranga,18-01-23,0.1
JA,Jabaquara,18-01-23,0.0
SA,Santo Amaro,18-01-23,0.0
VM,Vila Mariana,18-01-23,0.0
PA,Parelheiros ,18-01-23,0.0
AD,Cidade Ademar,18-01-23,0.0
MB,M Boi Mirim,19-01-23,0.0
CL,Campo Limpo,19-01-23,0.0
CS,Capela do Socorro,19-01-23,0.0
IP,Ipiranga,19-01-23,0.0
JA,Jabaquara,19-01-23,0.0
SA,Santo Amaro,19-01-23,0.0
VM,Vila Mariana,19-01-23,0.0
PA,Parelheiros ,19-01-23,0.0
AD,Cidade Ademar,19-01-23,0.0
MB,M Boi Mirim,20-01-23,17.8
CL,Campo Limpo,20-01-23,5.8
CS,Capela do Socorro,20-01-23,31.3
IP,Ipiranga,20-01-23,7.199999999999999
JA,Jabaquara,20-01-23,8.799999999999999
SA,Santo Amaro,20-01-23,8.299999999999999
VM,Vila Mariana,20-01-23,6.3
PA,Parelheiros ,20-01-23,36.1
AD,Cidade Ademar,20-01-23,16.7
MB,M Boi Mirim,21-01-23,0.0
CL,Campo Limpo,21-01-23,0.0
CS,Capela do Socorro,21-01-23,0.3
IP,Ipiranga,21-01-23,0.1
JA,Jabaquara,21-01-23,0.0
SA,Santo Amaro,21-01-23,0.1
VM,Vila Mariana,21-01-23,0.1
PA,Parelheiros ,21-01-23,0.5
AD,Cidade Ademar,21-01-23,0.0
MB,M Boi Mirim,22-01-23,0.0
CL,Campo Limpo,22-01-23,0.0
CS,Capela do Socorro,22-01-23,3.9
IP,Ipiranga,22-01-23,0.2
JA,Jabaquara,22-01-23,0.3
SA,Santo Amaro,22-01-23,0.1
VM,Vila Mariana,22-01-23,0.0
PA,Parelheiros ,22-01-23,4.5
AD,Cidade Ademar,22-01-23,1.8
MB,M Boi Mirim,23-01-23,19.8
CL,Campo Limpo,23-01-23,21.3
CS,Capela do Socorro,23-01-23,14.999999999999998
IP,Ipiranga,23-01-23,1.8
JA,Jabaquara,23-01-23,5.7
SA,Santo Amaro,23-01-23,6.300000000000001
VM,Vila Mariana,23-01-23,1.7
PA,Parelheiros ,23-01-23,19.7
AD,Cidade Ademar,23-01-23,6.6000000000000005
MB,M Boi Mirim,24-01-23,0.0
CL,Campo Limpo,24-01-23,0.2
CS,Capela do Socorro,24-01-23,0.0
IP,Ipiranga,24-01-23,0.1
JA,Jabaquara,24-01-23,0.0
SA,Santo Amaro,24-01-23,0.1
VM,Vila Mariana,24-01-23,0.3
PA,Parelheiros ,24-01-23,0.2
AD,Cidade Ademar,24-01-23,0.0
MB,M Boi Mirim,25-01-23,0.0
CL,Campo Limpo,25-01-23,0.0
CS,Capela do Socorro,25-01-23,0.0
IP,Ipiranga,25-01-23,0.0
JA,Jabaquara,25-01-23,0.0
SA,Santo Amaro,25-01-23,0.0
VM,Vila Mariana,25-01-23,0.0
PA,Parelheiros ,25-01-23,0.0
AD,Cidade Ademar,25-01-23,0.0
MB,M Boi Mirim,26-01-23,0.0
CL,Campo Limpo,26-01-23,0.0
CS,Capela do Socorro,26-01-23,0.0
IP,Ipiranga,26-01-23,0.0
JA,Jabaquara,26-01-23,0.0
SA,Santo Amaro,26-01-23,0.0
VM,Vila Mariana,26-01-23,0.0
PA,Parelheiros ,26-01-23,0.0
AD,Cidade Ademar,26-01-23,0.0
MB,M Boi Mirim,27-01-23,0.0
CL,Campo Limpo,27-01-23,0.0
CS,Capela do Socorro,27-01-23,0.0
IP,Ipiranga,27-01-23,0.0
JA,Jabaquara,27-01-23,0.0
SA,Santo Amaro,27-01-23,0.0
VM,Vila Mariana,27-01-23,0.0
PA,Parelheiros ,27-01-23,0.0
AD,Cidade Ademar,27-01-23,0.0
MB,M Boi Mirim,28-01-23,12.9
CL,Campo Limpo,28-01-23,14.5
CS,Capela do Socorro,28-01-23,2.9
IP,Ipiranga,28-01-23,3.9
JA,Jabaquara,28-01-23,5.9
SA,Santo Amaro,28-01-23,10.2
VM,Vila Mariana,28-01-23,14.5
PA,Parelheiros ,28-01-23,1.2000000000000002
AD,Cidade Ademar,28-01-23,3.1
MB,M Boi Mirim,29-01-23,5.8
CL,Campo Limpo,29-01-23,0.9
CS,Capela do Socorro,29-01-23,17.6
IP,Ipiranga,29-01-23,21.8
JA,Jabaquara,29-01-23,42.6
SA,Santo Amaro,29-01-23,20.1
VM,Vila Mariana,29-01-23,6.0
PA,Parelheiros ,29-01-23,15.9
AD,Cidade Ademar,29-01-23,42.3
MB,M Boi Mirim,30-01-23,3.0
CL,Campo Limpo,30-01-23,2.1
CS,Capela do Socorro,30-01-23,4.1
IP,Ipiranga,30-01-23,1.4
JA,Jabaquara,30-01-23,1.7
SA,Santo Amaro,30-01-23,1.7000000000000002
VM,Vila Mariana,30-01-23,1.2
PA,Parelheiros ,30-01-23,1.3
AD,Cidade Ademar,30-01-23,3.9
MB,M Boi Mirim,31-01-23,20.2
CL,Campo Limpo,31-01-23,21.2
CS,Capela do Socorro,31-01-23,16.4
IP,Ipiranga,31-01-23,19.700000000000003
JA,Jabaquara,31-01-23,25.8
SA,Santo Amaro,31-01-23,23.4
VM,Vila Mariana,31-01-23,16.400000000000002
PA,Parelheiros ,31-01-23,9.5
AD,Cidade Ademar,31-01-23,31.4
MB,M Boi Mirim,01-02-23,0.7000000000000001
CL,Campo Limpo,01-02-23,0.7999999999999999
CS,Capela do Socorro,01-02-23,1.2
IP,Ipiranga,01-02-23,15.7
JA,Jabaquara,01-02-23,6.699999999999999
SA,Santo Amaro,01-02-23,3.5
VM,Vila Mariana,01-02-23,9.8
PA,Parelheiros ,01-02-23,1.1
AD,Cidade Ademar,01-02-23,2.0
MB,M Boi Mirim,02-02-23,3.0
CL,Campo Limpo,02-02-23,1.3
CS,Capela do Socorro,02-02-23,17.5
IP,Ipiranga,02-02-23,3.0
JA,Jabaquara,02-02-23,6.4
SA,Santo Amaro,02-02-23,2.8
VM,Vila Mariana,02-02-23,0.7
PA,Parelheiros ,02-02-23,16.3
AD,Cidade Ademar,02-02-23,20.9
MB,M Boi Mirim,03-02-23,6.1
