Cod_Bairros,Nome_Bairros,Data,Pluviometria
VM,Vila Mariana,13-03-23,32.1
PA,Parelheiros ,13-03-23,1.7000000000000002
AD,Cidade Ademar,13-03-23,24.4
MB,M Boi Mirim,14-03-23,1.3
CL,Campo Limpo,14-03-23,5.3
CS,Capela do Socorro,14-03-23,2.0
IP,Ipiranga,14-03-23,3.8
JA,Jabaquara,14-03-23,2.8
SA,Santo Amaro,14-03-23,2.6
VM,Vila Mariana,14-03-23,4.5
PA,Parelheiros ,14-03-23,2.1
AD,Cidade Ademar,14-03-23,1.4
MB,M Boi Mirim,15-03-23,0.2
CL,Campo Limpo,15-03-23,0.0
CS,Capela do Socorro,15-03-23,0.0
IP,Ipiranga,15-03-23,0.0
JA,Jabaquara,15-03-23,0.0
SA,Santo Amaro,15-03-23,0.0
VM,Vila Mariana,15-03-23,0.0
PA,Parelheiros ,15-03-23,0.6
AD,Cidade Ademar,15-03-23,0.0
MB,M Boi Mirim,16-03-23,0.0
CL,Campo Limpo,16-03-23,0.0
CS,Capela do Socorro,16-03-23,0.0
IP,Ipiranga,16-03-23,0.0
JA,Jabaquara,16-03-23,0.0
SA,Santo Amaro,16-03-23,0.0
VM,Vila Mariana,16-03-23,0.0
PA,Parelheiros ,16-03-23,0.0
AD,Cidade Ademar,16-03-23,0.0
MB,M Boi Mirim,17-03-23,0.0
CL,Campo Limpo,17-03-23,0.0
CS,Capela do Socorro,17-03-23,0.0
IP,Ipiranga,17-03-23,0.0
JA,Jabaquara,17-03-23,0.0
SA,Santo Amaro,17-03-23,0.0
VM,Vila Mariana,17-03-23,0.0
PA,Parelheiros ,17-03-23,0.0
AD,Cidade Ademar,17-03-23,0.0
MB,M Boi Mirim,18-03-23,0.0
CL,Campo Limpo,18-03-23,0.0
CS,Capela do Socorro,18-03-23,0.0
IP,Ipiranga,18-03-23,0.0
JA,Jabaquara,18-03-23,0.0
SA,Santo Amaro,18-03-23,0.0
VM,Vila Mariana,18-03-23,0.0
PA,Parelheiros ,18-03-23,0.0
AD,Cidade Ademar,18-03-23,0.0
MB,M Boi Mirim,19-03-23,0.1
CL,Campo Limpo,19-03-23,0.0
CS,Capela do Socorro,19-03-23,0.0
IP,Ipiranga,19-03-23,0.0
JA,Jabaquara,19-03-23,0.0
SA,Santo Amaro,19-03-23,0.0
VM,Vila Mariana,19-03-23,0.0
PA,Parelheiros ,19-03-23,0.0
AD,Cidade Ademar,19-03-23,0.0
MB,M Boi Mirim,20-03-23,0.1
CL,Campo Limpo,20-03-23,0.5
CS,Capela do Socorro,20-03-23,0.5
IP,Ipiranga,20-03-23,0.0
JA,Jabaquara,20-03-23,0.0
SA,Santo Amaro,20-03-23,0.6
VM,Vila Mariana,20-03-23,0.3
PA,Parelheiros ,20-03-23,0.0
AD,Cidade Ademar,20-03-23,0.2
MB,M Boi Mirim,21-03-23,0.0
CL,Campo Limpo,21-03-23,0.0
CS,Capela do Socorro,21-03-23,0.0
IP,Ipiranga,21-03-23,0.0
JA,Jabaquara,21-03-23,0.0
SA,Santo Amaro,21-03-23,0.0
VM,Vila Mariana,21-03-23,0.0
PA,Parelheiros ,21-03-23,0.0
AD,Cidade Ademar,21-03-23,0.0
MB,M Boi Mirim,22-03-23,0.0
CL,Campo Limpo,22-03-23,0.0
CS,Capela do Socorro,22-03-23,0.0
IP,Ipiranga,22-03-23,0.0
JA,Jabaquara,22-03-23,0.0
SA,Santo Amaro,22-03-23,0.0
VM,Vila Mariana,22-03-23,0.0
PA,Parelheiros ,22-03-23,0.0
AD,Cidade Ademar,22-03-23,0.0
MB,M Boi Mirim,23-03-23,0.0
CL,Campo Limpo,23-03-23,0.0
CS,Capela do Socorro,23-03-23,0.0
IP,Ipiranga,23-03-23,0.0
JA,Jabaquara,23-03-23,0.0
SA,Santo Amaro,23-03-23,0.0
VM,Vila Mariana,23-03-23,0.0
PA,Parelheiros ,23-03-23,0.0
AD,Cidade Ademar,23-03-23,0.0
MB,M Boi Mirim,24-03-23,0.0
CL,Campo Limpo,24-03-23,0.0
CS,Capela do Socorro,24-03-23,0.0
IP,Ipiranga,24-03-23,0.0
JA,Jabaquara,24-03-23,0.0
SA,Santo Amaro,24-03-23,0.0
VM,Vila Mariana,24-03-23,0.0
PA,Parelheiros ,24-03-23,0.0
AD,Cidade Ademar,24-03-23,0.0
MB,M Boi Mirim,25-03-23,0.0
CL,Campo Limpo,25-03-23,0.0
CS,Capela do Socorro,25-03-23,0.0
IP,Ipiranga,25-03-23,0.0
JA,Jabaquara,25-03-23,0.0
SA,Santo Amaro,25-03-23,0.0
VM,Vila Mariana,25-03-23,0.0
PA,Parelheiros ,25-03-23,0.0
AD,Cidade Ademar,25-03-23,0.0
MB,M Boi Mirim,26-03-23,0.7
CL,Campo Limpo,26-03-23,0.6
CS,Capela do Socorro,26-03-23,2.1
IP,Ipiranga,26-03-23,3.2
JA,Jabaquara,26-03-23,3.0
SA,Santo Amaro,26-03-23,0.9
VM,Vila Mariana,26-03-23,3.2
PA,Parelheiros ,26-03-23,3.3
AD,Cidade Ademar,26-03-23,2.5
MB,M Boi Mirim,27-03-23,3.9
CL,Campo Limpo,27-03-23,7.399999999999999
CS,Capela do Socorro,27-03-23,5.0
IP,Ipiranga,27-03-23,16.700000000000003
JA,Jabaquara,27-03-23,17.0
SA,Santo Amaro,27-03-23,11.8
VM,Vila Mariana,27-03-23,13.8
PA,Parelheiros ,27-03-23,2.8
AD,Cidade Ademar,27-03-23,13.6
MB,M Boi Mirim,28-03-23,0.0
CL,Campo Limpo,28-03-23,0.0
CS,Capela do Socorro,28-03-23,0.0
IP,Ipiranga,28-03-23,0.0
JA,Jabaquara,28-03-23,0.0
SA,Santo Amaro,28-03-23,0.0
VM,Vila Mariana,28-03-23,0.0
PA,Parelheiros ,28-03-23,0.0
AD,Cidade Ademar,28-03-23,0.0
MB,M Boi Mirim,29-03-23,4.5
CL,Campo Limpo,29-03-23,1.8
CS,Capela do Socorro,29-03-23,6.0
IP,Ipiranga,29-03-23,0.4
JA,Jabaquara,29-03-23,0.0
SA,Santo Amaro,29-03-23,1.2
VM,Vila Mariana,29-03-23,0.8
PA,Parelheiros ,29-03-23,2.4
AD,Cidade Ademar,29-03-23,0.7
MB,M Boi Mirim,30-03-23,0.0
CL,Campo Limpo,30-03-23,0.0
CS,Capela do Socorro,30-03-23,0.3
IP,Ipiranga,30-03-23,0.0
JA,Jabaquara,30-03-23,0.0
SA,Santo Amaro,30-03-23,0.0
VM,Vila Mariana,30-03-23,0.0
PA,Parelheiros ,30-03-23,1.5
AD,Cidade Ademar,30-03-23,0.0
MB,M Boi Mirim,31-03-23,16.7
CL,Campo Limpo,31-03-23,17.6
CS,Capela do Socorro,31-03-23,20.7
IP,Ipiranga,31-03-23,12.6
JA,Jabaquara,31-03-23,12.6
SA,Santo Amaro,31-03-23,15.4
VM,Vila Mariana,31-03-23,12.9
PA,Parelheiros ,31-03-23,5.1
AD,Cidade Ademar,31-03-23,23.4
MB,M Boi Mirim,01-04-23,0.1
CL,Campo Limpo,01-04-23,0.2
CS,Capela do Socorro,01-04-23,0.8999999999999999
IP,Ipiranga,01-04-23,0.1
JA,Jabaquara,01-04-23,0.2
SA,Santo Amaro,01-04-23,0.0
VM,Vila Mariana,01-04-23,0.0
PA,Parelheiros ,01-04-23,20.0
AD,Cidade Ademar,01-04-23,0.1
MB,M Boi Mirim,02-04-23,0.1
CL,Campo Limpo,02-04-23,0.1
CS,Capela do Socorro,02-04-23,0.2
IP,Ipiranga,02-04-23,0.0
JA,Jabaquara,02-04-23,0.1
SA,Santo Amaro,02-04-23,0.2
VM,Vila Mariana,02-04-23,0.0
PA,Parelheiros ,02-04-23,0.6000000000000001
AD,Cidade Ademar,02-04-23,0.2
MB,M Boi Mirim,03-04-23,0.0
CL,Campo Limpo,03-04-23,0.0
CS,Capela do Socorro,03-04-23,0.0
IP,Ipiranga,03-04-23,0.0
JA,Jabaquara,03-04-23,0.0
SA,Santo Amaro,03-04-23,0.0
VM,Vila Mariana,03-04-23,0.0
PA,Parelheiros ,03-04-23,0.0
AD,Cidade Ademar,03-04-23,0.0
MB,M Boi Mirim,04-04-23,0.0
CL,Campo Limpo,04-04-23,0.0
CS,Capela do Socorro,04-04-23,0.0
IP,Ipiranga,04-04-23,0.0
JA,Jabaquara,04-04-23,0.0
SA,Santo Amaro,04-04-23,0.0
VM,Vila Mariana,04-04-23,0.0
PA,Parelheiros ,04-04-23,0.0
AD,Cidade Ademar,04-04-23,0.0
MB,M Boi Mirim,05-04-23,0.0
CL,Campo Limpo,05-04-23,0.0
CS,Capela do Socorro,05-04-23,0.0
IP,Ipiranga,05-04-23,0.0
JA,Jabaquara,05-04-23,0.0
SA,Santo Amaro,05-04-23,0.0
VM,Vila Mariana,05-04-23,0.0
PA,Parelheiros ,05-04-23,0.0
AD,Cidade Ademar,05-04-23,0.0
MB,M Boi Mirim,06-04-23,0.0
CL,Campo Limpo,06-04-23,0.0
CS,Capela do Socorro,06-04-23,0.0
IP,Ipiranga,06-04-23,0.0
JA,Jabaquara,06-04-23,0.0
SA,Santo Amaro,06-04-23,0.0
VM,Vila Mariana,06-04-23,0.0
PA,Parelheiros ,06-04-23,0.0
AD,Cidade Ademar,06-04-23,0.0
MB,M Boi Mirim,07-04-23,7.5
CL,Campo Limpo,07-04-23,9.6
CS,Capela do Socorro,07-04-23,11.9
IP,Ipiranga,07-04-23,9.1
JA,Jabaquara,07-04-23,9.9
SA,Santo Amaro,07-04-23,10.8
VM,Vila Mariana,07-04-23,8.1
PA,Parelheiros ,07-04-23,14.8
AD,Cidade Ademar,07-04-23,12.7
MB,M Boi Mirim,08-04-23,1.0
CL,Campo Limpo,08-04-23,0.5
CS,Capela do Socorro,08-04-23,3.2
IP,Ipiranga,08-04-23,0.7
JA,Jabaquara,08-04-23,0.4
SA,Santo Amaro,08-04-23,0.1
VM,Vila Mariana,08-04-23,0.6
PA,Parelheiros ,08-04-23,10.1
AD,Cidade Ademar,08-04-23,0.5
MB,M Boi Mirim,09-04-23,0.3
CL,Campo Limpo,09-04-23,0.2
CS,Capela do Socorro,09-04-23,1.4
IP,Ipiranga,09-04-23,0.0
JA,Jabaquara,09-04-23,0.1
SA,Santo Amaro,09-04-23,0.0
VM,Vila Mariana,09-04-23,0.0
PA,Parelheiros ,09-04-23,1.6
AD,Cidade Ademar,09-04-23,0.2
MB,M Boi Mirim,10-04-23,0.0
CL,Campo Limpo,10-04-23,0.0
CS,Capela do Socorro,10-04-23,0.0
IP,Ipiranga,10-04-23,0.0
JA,Jabaquara,10-04-23,0.0
SA,Santo Amaro,10-04-23,0.0
VM,Vila Mariana,10-04-23,0.0
PA,Parelheiros ,10-04-23,0.0
AD,Cidade Ademar,10-04-23,0.0
MB,M Boi Mirim,11-04-23,0.0
CL,Campo Limpo,11-04-23,0.0
CS,Capela do Socorro,11-04-23,0.0
IP,Ipiranga,11-04-23,0.0
JA,Jabaquara,11-04-23,0.0
SA,Santo Amaro,11-04-23,0.0
VM,Vila Mariana,11-04-23,0.0
PA,Parelheiros ,11-04-23,0.0
AD,Cidade Ademar,11-04-23,0.0
MB,M Boi Mirim,12-04-23,0.3
CL,Campo Limpo,12-04-23,0.4
CS,Capela do Socorro,12-04-23,0.4
IP,Ipiranga,12-04-23,0.1
JA,Jabaquara,12-04-23,0.1
SA,Santo Amaro,12-04-23,0.0
VM,Vila Mariana,12-04-23,0.4
PA,Parelheiros ,12-04-23,6.0
AD,Cidade Ademar,12-04-23,0.3
MB,M Boi Mirim,13-04-23,0.2
CL,Campo Limpo,13-04-23,0.4
CS,Capela do Socorro,13-04-23,0.3
IP,Ipiranga,13-04-23,0.7
JA,Jabaquara,13-04-23,0.3
SA,Santo Amaro,13-04-23,0.7
VM,Vila Mariana,13-04-23,1.6
PA,Parelheiros ,13-04-23,0.2
AD,Cidade Ademar,13-04-23,0.2
MB,M Boi Mirim,14-04-23,11.2
CL,Campo Limpo,14-04-23,14.2
CS,Capela do Socorro,14-04-23,13.4
IP,Ipiranga,14-04-23,10.7
JA,Jabaquara,14-04-23,12.0
SA,Santo Amaro,14-04-23,12.7
VM,Vila Mariana,14-04-23,12.2
PA,Parelheiros ,14-04-23,14.8
AD,Cidade Ademar,14-04-23,14.7
MB,M Boi Mirim,15-04-23,1.1
CL,Campo Limpo,15-04-23,1.4
CS,Capela do Socorro,15-04-23,3.8
IP,Ipiranga,15-04-23,4.2
JA,Jabaquara,15-04-23,3.3
SA,Santo Amaro,15-04-23,1.7999999999999998
VM,Vila Mariana,15-04-23,2.8000000000000003
PA,Parelheiros ,15-04-23,10.2
AD,Cidade Ademar,15-04-23,4.4
MB,M Boi Mirim,16-04-23,0.0
CL,Campo Limpo,16-04-23,0.0
CS,Capela do Socorro,16-04-23,0.0
IP,Ipiranga,16-04-23,0.0
JA,Jabaquara,16-04-23,0.0
SA,Santo Amaro,16-04-23,0.0
VM,Vila Mariana,16-04-23,0.0
PA,Parelheiros ,16-04-23,0.0
AD,Cidade Ademar,16-04-23,0.0
MB,M Boi Mirim,17-04-23,1.5
CL,Campo Limpo,17-04-23,1.8
CS,Capela do Socorro,17-04-23,2.4
IP,Ipiranga,17-04-23,2.4
JA,Jabaquara,17-04-23,2.2
SA,Santo Amaro,17-04-23,1.7
VM,Vila Mariana,17-04-23,2.2
PA,Parelheiros ,17-04-23,1.3
AD,Cidade Ademar,17-04-23,2.2
MB,M Boi Mirim,18-04-23,32.400000000000006
CL,Campo Limpo,18-04-23,39.5
CS,Capela do Socorro,18-04-23,47.2
IP,Ipiranga,18-04-23,35.099999999999994
JA,Jabaquara,18-04-23,41.400000000000006
SA,Santo Amaro,18-04-23,43.3
VM,Vila Mariana,18-04-23,39.900000000000006
PA,Parelheiros ,18-04-23,35.2
AD,Cidade Ademar,18-04-23,49.400000000000006
MB,M Boi Mirim,19-04-23,1.2
CL,Campo Limpo,19-04-23,1.7
CS,Capela do Socorro,19-04-23,0.6
IP,Ipiranga,19-04-23,0.7
JA,Jabaquara,19-04-23,0.6
SA,Santo Amaro,19-04-23,0.6
VM,Vila Mariana,19-04-23,1.0
PA,Parelheiros ,19-04-23,0.1
AD,Cidade Ademar,19-04-23,0.7
MB,M Boi Mirim,20-04-23,0.0
CL,Campo Limpo,20-04-23,0.0
CS,Capela do Socorro,20-04-23,0.0
IP,Ipiranga,20-04-23,0.0
JA,Jabaquara,20-04-23,0.0
SA,Santo Amaro,20-04-23,0.0
VM,Vila Mariana,20-04-23,0.0
PA,Parelheiros ,20-04-23,0.0
AD,Cidade Ademar,20-04-23,0.0
MB,M Boi Mirim,21-04-23,0.0
CL,Campo Limpo,21-04-23,0.0
CS,Capela do Socorro,21-04-23,0.0
IP,Ipiranga,21-04-23,0.0
JA,Jabaquara,21-04-23,0.0
SA,Santo Amaro,21-04-23,0.0
VM,Vila Mariana,21-04-23,0.0
PA,Parelheiros ,21-04-23,0.0
AD,Cidade Ademar,21-04-23,0.0
MB,M Boi Mirim,22-04-23,0.0
CL,Campo Limpo,22-04-23,0.0
CS,Capela do Socorro,22-04-23,0.0
IP,Ipiranga,22-04-23,0.0
JA,Jabaquara,22-04-23,0.0
SA,Santo Amaro,22-04-23,0.0
VM,Vila Mariana,22-04-23,0.0
PA,Parelheiros ,22-04-23,0.0
AD,Cidade Ademar,22-04-23,0.0
MB,M Boi Mirim,23-04-23,0.0
CL,Campo Limpo,23-04-23,0.0
CS,Capela do Socorro,23-04-23,0.0
IP,Ipiranga,23-04-23,0.0
JA,Jabaquara,23-04-23,0.0
SA,Santo Amaro,23-04-23,0.0
VM,Vila Mariana,23-04-23,0.0
PA,Parelheiros ,23-04-23,0.0
AD,Cidade Ademar,23-04-23,0.0
MB,M Boi Mirim,24-04-23,0.0
CL,Campo Limpo,24-04-23,0.0
CS,Capela do Socorro,24-04-23,0.0
IP,Ipiranga,24-04-23,0.0
JA,Jabaquara,24-04-23,0.0
SA,Santo Amaro,24-04-23,0.0
VM,Vila Mariana,24-04-23,0.0
PA,Parelheiros ,24-04-23,0.0
AD,Cidade Ademar,24-04-23,0.0
MB,M Boi Mirim,25-04-23,0.0
CL,Campo Limpo,25-04-23,0.0
CS,Capela do Socorro,25-04-23,0.0
IP,Ipiranga,25-04-23,0.0
JA,Jabaquara,25-04-23,0.0
SA,Santo Amaro,25-04-23,0.0
VM,Vila Mariana,25-04-23,0.0
PA,Parelheiros ,25-04-23,0.0
AD,Cidade Ademar,25-04-23,0.0
MB,M Boi Mirim,26-04-23,0.3
CL,Campo Limpo,26-04-23,0.1
CS,Capela do Socorro,26-04-23,0.2
IP,Ipiranga,26-04-23,0.4
JA,Jabaquara,26-04-23,0.2
SA,Santo Amaro,26-04-23,0.1
VM,Vila Mariana,26-04-23,0.2
PA,Parelheiros ,26-04-23,0.5
AD,Cidade Ademar,26-04-23,0.1
MB,M Boi Mirim,27-04-23,4.6
CL,Campo Limpo,27-04-23,3.3000000000000003
CS,Capela do Socorro,27-04-23,2.5
IP,Ipiranga,27-04-23,1.4
JA,Jabaquara,27-04-23,1.4
SA,Santo Amaro,27-04-23,2.2
VM,Vila Mariana,27-04-23,1.7
PA,Parelheiros ,27-04-23,2.9
AD,Cidade Ademar,27-04-23,2.1
MB,M Boi Mirim,28-04-23,1.2000000000000002
CL,Campo Limpo,28-04-23,1.1
CS,Capela do Socorro,28-04-23,0.5
IP,Ipiranga,28-04-23,0.8999999999999999
JA,Jabaquara,28-04-23,0.7
SA,Santo Amaro,28-04-23,0.7
VM,Vila Mariana,28-04-23,0.8
PA,Parelheiros ,28-04-23,1.8
AD,Cidade Ademar,28-04-23,0.6
MB,M Boi Mirim,29-04-23,0.8
CL,Campo Limpo,29-04-23,1.4
CS,Capela do Socorro,29-04-23,0.4
IP,Ipiranga,29-04-23,0.8
JA,Jabaquara,29-04-23,1.4
SA,Santo Amaro,29-04-23,1.1
VM,Vila Mariana,29-04-23,0.6
PA,Parelheiros ,29-04-23,2.4
AD,Cidade Ademar,29-04-23,1.0
MB,M Boi Mirim,30-04-23,0.0
CL,Campo Limpo,30-04-23,0.0
CS,Capela do Socorro,30-04-23,0.0
IP,Ipiranga,30-04-23,0.0
JA,Jabaquara,30-04-23,0.0
SA,Santo Amaro,30-04-23,0.0
VM,Vila Mariana,30-04-23,0.0
PA,Parelheiros ,30-04-23,0.0
AD,Cidade Ademar,30-04-23,0.0
MB,M Boi Mirim,01-05-23,1.0
CL,Campo Limpo,01-05-23,0.2
CS,Capela do Socorro,01-05-23,0.0
IP,Ipiranga,01-05-23,0.0
JA,Jabaquara,01-05-23,0.0
SA,Santo Amaro,01-05-23,0.0
VM,Vila Mariana,01-05-23,0.0
PA,Parelheiros ,01-05-23,0.1
AD,Cidade Ademar,01-05-23,0.0
MB,M Boi Mirim,02-05-23,0.2
CL,Campo Limpo,02-05-23,1.8
CS,Capela do Socorro,02-05-23,0.2
IP,Ipiranga,02-05-23,0.0
JA,Jabaquara,02-05-23,0.0
SA,Santo Amaro,02-05-23,0.1
VM,Vila Mariana,02-05-23,0.1
PA,Parelheiros ,02-05-23,0.2
AD,Cidade Ademar,02-05-23,0.0
MB,M Boi Mirim,03-05-23,0.0
CL,Campo Limpo,03-05-23,0.0
CS,Capela do Socorro,03-05-23,0.0
IP,Ipiranga,03-05-23,0.0
JA,Jabaquara,03-05-23,0.0
SA,Santo Amaro,03-05-23,0.0
VM,Vila Mariana,03-05-23,0.0
PA,Parelheiros ,03-05-23,0.0
AD,Cidade Ademar,03-05-23,0.0
MB,M Boi Mirim,04-05-23,0.0
CL,Campo Limpo,04-05-23,0.0
CS,Capela do Socorro,04-05-23,0.0
IP,Ipiranga,04-05-23,0.0
JA,Jabaquara,04-05-23,0.0
SA,Santo Amaro,04-05-23,0.0
VM,Vila Mariana,04-05-23,0.0
PA,Parelheiros ,04-05-23,0.0
AD,Cidade Ademar,04-05-23,0.0
MB,M Boi Mirim,05-05-23,0.0
CL,Campo Limpo,05-05-23,0.0
CS,Capela do Socorro,05-05-23,0.0
IP,Ipiranga,05-05-23,0.0
JA,Jabaquara,05-05-23,0.0
SA,Santo Amaro,05-05-23,0.0
VM,Vila Mariana,05-05-23,0.0
PA,Parelheiros ,05-05-23,0.0
AD,Cidade Ademar,05-05-23,0.0
MB,M Boi Mirim,06-05-23,0.0
CL,Campo Limpo,06-05-23,0.0
CS,Capela do Socorro,06-05-23,0.0
IP,Ipiranga,06-05-23,0.0
JA,Jabaquara,06-05-23,0.0
SA,Santo Amaro,06-05-23,0.0
VM,Vila Mariana,06-05-23,0.0
PA,Parelheiros ,06-05-23,0.0
AD,Cidade Ademar,06-05-23,0.0
MB,M Boi Mirim,07-05-23,0.0
CL,Campo Limpo,07-05-23,0.0
CS,Capela do Socorro,07-05-23,0.0
IP,Ipiranga,07-05-23,0.0
JA,Jabaquara,07-05-23,0.0
SA,Santo Amaro,07-05-23,0.0
VM,Vila Mariana,07-05-23,0.0
PA,Parelheiros ,07-05-23,0.0
AD,Cidade Ademar,07-05-23,0.0
MB,M Boi Mirim,08-05-23,0.0
CL,Campo Limpo,08-05-23,0.0
CS,Capela do Socorro,08-05-23,0.0
IP,Ipiranga,08-05-23,0.0
JA,Jabaquara,08-05-23,0.0
SA,Santo Amaro,08-05-23,0.0
VM,Vila Mariana,08-05-23,0.0
PA,Parelheiros ,08-05-23,0.0
AD,Cidade Ademar,08-05-23,0.0
MB,M Boi Mirim,09-05-23,1.2
CL,Campo Limpo,09-05-23,0.7
CS,Capela do Socorro,09-05-23,3.0
IP,Ipiranga,09-05-23,0.1
JA,Jabaquara,09-05-23,0.5
SA,Santo Amaro,09-05-23,1.0
VM,Vila Mariana,09-05-23,0.0
PA,Parelheiros ,09-05-23,14.4
AD,Cidade Ademar,09-05-23,2.1
MB,M Boi Mirim,10-05-23,1.3
CL,Campo Limpo,10-05-23,2.1
CS,Capela do Socorro,10-05-23,0.7999999999999999
IP,Ipiranga,10-05-23,9.3
JA,Jabaquara,10-05-23,2.7
SA,Santo Amaro,10-05-23,1.6
VM,Vila Mariana,10-05-23,8.0
PA,Parelheiros ,10-05-23,7.6
AD,Cidade Ademar,10-05-23,1.7
MB,M Boi Mirim,11-05-23,0.0
CL,Campo Limpo,11-05-23,0.0
CS,Capela do Socorro,11-05-23,0.0
IP,Ipiranga,11-05-23,0.0
JA,Jabaquara,11-05-23,0.0
SA,Santo Amaro,11-05-23,0.0
VM,Vila Mariana,11-05-23,0.0
PA,Parelheiros ,11-05-23,0.0
AD,Cidade Ademar,11-05-23,0.0
MB,M Boi Mirim,12-05-23,0.1
CL,Campo Limpo,12-05-23,0.0
CS,Capela do Socorro,12-05-23,0.5
IP,Ipiranga,12-05-23,0.6
JA,Jabaquara,12-05-23,0.5
SA,Santo Amaro,12-05-23,0.0
VM,Vila Mariana,12-05-23,0.1
PA,Parelheiros ,12-05-23,3.3
AD,Cidade Ademar,12-05-23,0.6
MB,M Boi Mirim,13-05-23,0.1
CL,Campo Limpo,13-05-23,0.0
CS,Capela do Socorro,13-05-23,0.1
IP,Ipiranga,13-05-23,0.3
JA,Jabaquara,13-05-23,0.3
SA,Santo Amaro,13-05-23,0.0
VM,Vila Mariana,13-05-23,0.2
PA,Parelheiros ,13-05-23,1.1
AD,Cidade Ademar,13-05-23,0.4
MB,M Boi Mirim,14-05-23,0.0
CL,Campo Limpo,14-05-23,0.0
CS,Capela do Socorro,14-05-23,0.0
IP,Ipiranga,14-05-23,0.0
JA,Jabaquara,14-05-23,0.0
SA,Santo Amaro,14-05-23,0.0
VM,Vila Mariana,14-05-23,0.0
PA,Parelheiros ,14-05-23,0.0
AD,Cidade Ademar,14-05-23,0.0
MB,M Boi Mirim,15-05-23,0.0
CL,Campo Limpo,15-05-23,0.0
CS,Capela do Socorro,15-05-23,0.0
IP,Ipiranga,15-05-23,0.0
JA,Jabaquara,15-05-23,0.0
SA,Santo Amaro,15-05-23,0.0
VM,Vila Mariana,15-05-23,0.0
PA,Parelheiros ,15-05-23,0.0
AD,Cidade Ademar,15-05-23,0.0
MB,M Boi Mirim,16-05-23,0.0
CL,Campo Limpo,16-05-23,0.0
CS,Capela do Socorro,16-05-23,0.0
IP,Ipiranga,16-05-23,0.0
JA,Jabaquara,16-05-23,0.0
SA,Santo Amaro,16-05-23,0.0
VM,Vila Mariana,16-05-23,0.0
PA,Parelheiros ,16-05-23,0.0
AD,Cidade Ademar,16-05-23,0.0
MB,M Boi Mirim,17-05-23,0.0
CL,Campo Limpo,17-05-23,0.0
CS,Capela do Socorro,17-05-23,0.0
IP,Ipiranga,17-05-23,0.0
JA,Jabaquara,17-05-23,0.0
SA,Santo Amaro,17-05-23,0.0
VM,Vila Mariana,17-05-23,0.0
PA,Parelheiros ,17-05-23,0.0
AD,Cidade Ademar,17-05-23,0.0
MB,M Boi Mirim,18-05-23,0.0
CL,Campo Limpo,18-05-23,0.0
CS,Capela do Socorro,18-05-23,0.0
IP,Ipiranga,18-05-23,0.0
JA,Jabaquara,18-05-23,0.0
SA,Santo Amaro,18-05-23,0.0
VM,Vila Mariana,18-05-23,0.0
PA,Parelheiros ,18-05-23,0.0
AD,Cidade Ademar,18-05-23,0.0
MB,M Boi Mirim,19-05-23,0.0
CL,Campo Limpo,19-05-23,0.0
CS,Capela do Socorro,19-05-23,0.0
IP,Ipiranga,19-05-23,0.0
JA,Jabaquara,19-05-23,0.0
SA,Santo Amaro,19-05-23,0.0
VM,Vila Mariana,19-05-23,0.0
PA,Parelheiros ,19-05-23,0.0
AD,Cidade Ademar,19-05-23,0.0
MB,M Boi Mirim,20-05-23,0.0
CL,Campo Limpo,20-05-23,0.0
CS,Capela do Socorro,20-05-23,0.0
IP,Ipiranga,20-05-23,0.0
JA,Jabaquara,20-05-23,0.0
SA,Santo Amaro,20-05-23,0.0
VM,Vila Mariana,20-05-23,0.0
PA,Parelheiros ,20-05-23,0.0
AD,Cidade Ademar,20-05-23,0.0
MB,M Boi Mirim,21-05-23,0.0
CL,Campo Limpo,21-05-23,0.0
CS,Capela do Socorro,21-05-23,0.0
IP,Ipiranga,21-05-23,0.0
JA,Jabaquara,21-05-23,0.0
SA,Santo Amaro,21-05-23,0.0
VM,Vila Mariana,21-05-23,0.0
PA,Parelheiros ,21-05-23,0.0
AD,Cidade Ademar,21-05-23,0.0
MB,M Boi Mirim,22-05-23,0.0
CL,Campo Limpo,22-05-23,0.0
CS,Capela do Socorro,22-05-23,0.0
IP,Ipiranga,22-05-23,0.0
JA,Jabaquara,22-05-23,0.0
SA,Santo Amaro,22-05-23,0.0
VM,Vila Mariana,22-05-23,0.0
PA,Parelheiros ,22-05-23,0.0
AD,Cidade Ademar,22-05-23,0.0
MB,M Boi Mirim,23-05-23,0.0
CL,Campo Limpo,23-05-23,0.0
CS,Capela do Socorro,23-05-23,0.0
IP,Ipiranga,23-05-23,0.0
JA,Jabaquara,23-05-23,0.0
SA,Santo Amaro,23-05-23,0.0
VM,Vila Mariana,23-05-23,0.0
PA,Parelheiros ,23-05-23,0.0
AD,Cidade Ademar,23-05-23,0.0
MB,M Boi Mirim,24-05-23,0.0
CL,Campo Limpo,24-05-23,0.0
CS,Capela do Socorro,24-05-23,0.0
IP,Ipiranga,24-05-23,0.0
JA,Jabaquara,24-05-23,0.0
SA,Santo Amaro,24-05-23,0.0
VM,Vila Mariana,24-05-23,0.0
PA,Parelheiros ,24-05-23,0.0
AD,Cidade Ademar,24-05-23,0.0
MB,M Boi Mirim,25-05-23,0.0
CL,Campo Limpo,25-05-23,0.0
CS,Capela do Socorro,25-05-23,0.0
IP,Ipiranga,25-05-23,0.0
JA,Jabaquara,25-05-23,0.0
SA,Santo Amaro,25-05-23,0.0
VM,Vila Mariana,25-05-23,0.0
