,Temp. Ins. (C),Umi. Ins. (%),Vel. Vento (m/s),Raj. Vento (m/s),Chuva (mm),num_ocorrencias
8729,26.8,69.0,9.3,4.7,0.0,0.0
8730,25.4,72.0,10.0,5.3,0.0,0.0
8731,24.5,74.0,10.0,4.5,0.0,0.0
8732,23.6,77.0,8.9,3.8,0.0,0.0
8733,22.6,80.0,7.9,2.5,0.0,0.0
8734,21.6,85.0,6.4,2.9,0.0,0.0
8735,20.6,85.0,6.4,1.6,0.0,0.0
8736,20.1,89.0,5.4,1.8,0.0,0.0
8737,20.1,88.0,4.2,2.1,0.0,0.0
8738,20.0,88.0,4.5,2.1,0.0,0.0
8739,19.7,90.0,4.0,1.2,0.0,0.0
8740,19.3,91.0,2.9,0.6,0.0,0.0
8741,19.5,86.0,2.0,1.0,0.0,0.0
8742,19.5,84.0,2.8,0.9,0.0,0.0
8743,19.5,85.0,3.0,1.0,0.0,1.0
8744,19.5,86.0,3.8,0.9,0.0,0.0
8745,20.0,84.0,3.0,0.6,0.0,0.0
8746,21.6,78.0,3.0,1.4,0.0,2.0
8747,23.2,71.0,3.4,1.3,0.0,0.0
8748,25.5,63.0,2.9,1.1,0.0,1.0
8749,27.9,52.0,5.0,1.6,0.0,0.0
8750,29.5,48.0,5.5,2.2,0.0,0.0
8751,31.3,45.0,5.4,1.7,0.0,1.0
8752,31.9,39.0,5.9,1.7,0.0,1.0
8753,27.5,74.0,7.4,3.4,0.0,0.0
8754,25.5,80.0,7.2,3.4,0.0,0.0
8755,25.1,78.0,8.0,3.9,0.0,0.0
8756,23.7,81.0,8.0,2.6,0.0,2.0
8757,23.3,83.0,6.0,2.5,0.0,0.0
8758,22.6,87.0,4.9,1.9,0.0,0.0
8759,22.0,90.0,4.1,1.3,0.0,0.0
8760,22.0,92.0,2.8,0.4,0.0,0.0
8761,22.1,92.0,1.8,0.9,0.0,0.0
8762,23.2,82.0,3.3,1.2,0.0,0.0
8763,23.3,79.0,3.0,1.2,0.0,0.0
8764,22.9,79.0,3.5,0.6,0.0,0.0
8765,22.8,80.0,4.4,1.9,0.0,0.0
8766,22.4,79.0,4.4,1.3,0.0,0.0
8767,21.5,82.0,3.3,1.1,0.0,0.0
8768,20.9,86.0,2.4,0.5,0.0,0.0
8769,21.4,86.0,2.5,1.5,0.0,1.0
8770,24.1,71.0,4.4,1.8,0.0,0.0
8771,26.3,63.0,6.5,2.8,0.0,0.0
8772,26.6,63.0,8.6,3.7,0.0,0.0
8773,29.2,58.0,7.4,3.0,0.0,0.0
8774,30.1,54.0,7.5,2.5,0.0,1.0
8775,32.0,50.0,7.8,1.9,0.0,0.0
8776,33.6,43.0,7.0,1.8,0.0,1.0
8777,33.3,40.0,7.1,1.4,0.0,0.0
8778,33.6,36.0,6.3,1.5,0.0,0.0
8779,26.9,63.0,7.9,3.9,0.0,4.0
8780,26.6,66.0,7.9,1.3,0.0,1.0
8781,26.4,65.0,3.5,1.3,0.0,3.0
8782,23.9,76.0,8.0,2.8,0.0,0.0
8783,22.2,94.0,5.4,0.8,0.8,0.0
8784,21.6,98.0,2.6,0.9,0.8,0.0
8785,21.6,93.0,4.4,1.8,0.6,0.0
8786,21.1,92.0,4.9,1.6,0.0,0.0
8787,21.3,90.0,3.6,1.5,0.2,0.0
8788,20.8,93.0,2.4,0.8,0.0,0.0
8789,20.9,93.0,2.8,1.5,0.0,0.0
8790,20.7,94.0,3.2,0.5,0.0,0.0
8791,20.6,95.0,2.9,0.6,0.0,0.0
8792,20.7,94.0,3.9,1.1,0.0,2.0
8793,20.9,89.0,3.9,0.4,0.0,0.0
8794,21.1,92.0,2.1,0.7,0.2,1.0
8795,22.3,84.0,3.9,1.6,0.0,0.0
8796,22.8,82.0,4.0,1.9,0.0,0.0
8797,24.6,78.0,5.2,2.6,0.0,3.0
8798,26.8,70.0,5.2,1.3,0.0,3.0
8799,27.7,70.0,4.9,1.0,0.0,2.0
8800,29.4,59.0,5.1,1.4,0.0,1.0
8801,19.7,97.0,12.0,3.9,7.2,2.0
8802,21.7,96.0,10.4,2.8,0.8,3.0
8803,22.1,94.0,7.4,2.5,0.0,0.0
8804,21.3,97.0,6.7,2.1,0.0,1.0
