,Temp. Ins. (C),Umi. Ins. (%),Vel. Vento (m/s),Raj. Vento (m/s),Chuva (mm),num_ocorrencias
0,21.5,87.0,5.9,2.3,0.0,0.0
1,21.1,87.0,4.6,2.1,0.0,0.0
2,20.7,90.0,4.4,1.6,0.0,0.0
3,20.5,92.0,4.0,1.7,0.0,0.0
4,20.7,93.0,4.2,1.9,0.0,0.0
5,20.1,94.0,4.4,1.5,0.0,0.0
6,20.3,94.0,4.0,1.8,0.0,0.0
7,19.9,95.0,4.1,1.4,0.0,0.0
8,19.9,95.0,3.1,0.9,0.0,0.0
9,20.7,89.0,2.1,1.1,0.0,0.0
10,21.7,83.0,4.0,1.8,0.0,0.0
11,23.3,78.0,4.7,2.6,0.0,1.0
12,25.0,70.0,4.6,1.3,0.0,1.0
13,26.9,63.0,4.0,1.3,0.0,0.0
14,27.4,60.0,5.5,1.5,0.0,2.0
15,29.7,53.0,5.9,1.5,0.0,0.0
16,28.9,57.0,3.8,1.6,0.0,0.0
17,26.4,77.0,7.9,4.1,0.0,1.0
18,23.1,92.0,11.1,4.4,0.0,0.0
19,22.7,90.0,9.5,3.8,0.0,0.0
20,22.6,89.0,7.3,3.5,0.0,0.0
21,22.7,88.0,7.6,2.7,0.0,0.0
22,22.6,88.0,5.3,1.4,0.0,0.0
23,22.4,89.0,3.9,1.9,0.0,1.0
24,22.3,89.0,4.2,2.3,0.0,0.0
25,22.4,90.0,4.3,1.8,0.0,0.0
26,22.3,91.0,3.1,1.1,0.0,0.0
27,22.7,85.0,3.6,1.1,0.0,0.0
28,22.4,88.0,3.7,1.3,0.0,0.0
29,22.6,87.0,3.1,1.0,0.0,0.0
30,22.3,88.0,2.6,0.7,0.0,0.0
31,21.9,88.0,2.6,1.0,0.0,0.0
32,21.6,92.0,2.1,1.1,0.0,0.0
33,22.4,90.0,2.1,0.8,0.0,0.0
34,24.6,80.0,2.6,1.2,0.0,0.0
35,26.1,71.0,4.6,2.1,0.0,1.0
36,27.7,64.0,6.3,1.9,0.0,0.0
37,29.2,59.0,8.4,2.5,0.0,2.0
38,30.0,56.0,7.3,3.0,0.0,1.0
39,31.2,55.0,8.7,2.2,0.0,0.0
40,32.3,48.0,8.3,2.7,0.0,0.0
41,32.6,46.0,7.2,2.1,0.0,1.0
42,32.6,46.0,7.0,2.0,0.0,1.0
43,28.2,75.0,5.5,2.3,0.0,0.0
44,23.7,91.0,9.3,2.1,3.0,0.0
45,22.9,97.0,10.3,0.9,41.2,0.0
46,23.1,95.0,2.8,1.7,0.0,0.0
47,22.8,96.0,2.8,0.7,0.2,0.0
48,23.4,92.0,2.7,1.0,0.0,0.0
49,24.3,84.0,4.0,1.6,0.0,0.0
50,24.4,84.0,3.5,1.2,0.0,0.0
51,24.5,80.0,3.5,1.4,0.0,0.0
52,23.7,84.0,2.8,0.7,0.0,0.0
53,23.7,83.0,3.2,1.4,0.0,0.0
54,23.9,81.0,4.3,1.7,0.0,0.0
55,23.6,80.0,4.3,1.2,0.0,0.0
56,23.8,76.0,3.2,1.2,0.0,1.0
57,23.1,81.0,4.3,2.0,0.0,0.0
58,23.8,79.0,5.2,1.9,0.0,0.0
59,26.1,72.0,5.7,2.6,0.0,0.0
60,28.8,65.0,7.5,2.9,0.0,1.0
61,30.1,58.0,8.5,2.7,0.0,1.0
62,30.6,61.0,9.4,3.0,0.0,0.0
63,31.3,54.0,9.0,4.1,0.0,0.0
64,31.7,52.0,8.4,2.5,0.0,0.0
65,33.1,46.0,7.7,2.2,0.0,1.0
66,33.1,43.0,8.0,2.5,0.0,0.0
67,30.7,56.0,8.1,2.0,0.0,1.0
68,29.8,56.0,7.5,1.6,0.0,0.0
69,29.3,57.0,5.9,1.6,0.0,1.0
70,25.8,69.0,9.9,4.3,0.0,0.0
71,23.9,80.0,9.1,3.2,0.0,0.0
72,23.7,83.0,8.3,3.5,0.0,0.0
73,22.8,86.0,9.2,2.8,0.0,0.0
74,22.6,86.0,7.1,2.0,0.0,0.0
75,22.3,87.0,6.9,3.3,0.0,0.0
76,22.1,87.0,8.1,2.3,0.0,0.0
77,22.1,85.0,6.1,2.8,0.0,0.0
78,22.0,86.0,7.0,1.8,0.0,0.0
79,22.0,87.0,5.8,2.2,0.0,0.0
80,21.8,88.0,4.4,1.7,0.0,0.0
81,22.2,87.0,5.7,2.0,0.0,0.0
82,23.2,83.0,5.4,1.9,0.0,0.0
83,23.8,79.0,6.3,3.1,0.0,0.0
84,26.8,69.0,6.4,2.3,0.0,0.0
85,26.8,70.0,7.4,2.6,0.0,0.0
86,30.5,58.0,7.6,2.4,0.0,1.0
87,29.4,62.0,7.1,1.6,0.0,1.0
88,23.0,86.0,9.2,3.0,3.2,0.0
89,22.4,95.0,9.2,1.2,5.8,2.0
90,23.9,90.0,3.8,0.6,0.0,1.0
91,24.5,87.0,2.8,0.4,0.0,0.0
92,20.8,94.0,5.9,2.8,9.4,0.0
93,21.9,93.0,7.8,2.6,18.4,1.0
94,21.0,95.0,5.1,0.5,0.6,1.0
95,21.2,96.0,1.8,1.0,0.2,1.0
96,21.3,96.0,2.0,0.4,0.0,1.0
97,21.3,97.0,2.1,1.2,4.4,0.0
98,21.0,97.0,3.2,1.4,6.2,1.0
99,21.0,97.0,3.6,1.5,6.8,1.0
100,20.7,96.0,5.3,1.2,1.8,0.0
101,20.9,96.0,5.3,1.7,0.0,0.0
102,20.9,95.0,5.4,1.8,0.0,1.0
103,20.9,94.0,5.1,2.0,0.0,0.0
104,21.1,92.0,4.3,1.2,0.0,0.0
105,20.6,96.0,3.4,1.0,1.8,2.0
106,20.5,96.0,3.7,1.7,4.4,0.0
107,20.3,96.0,5.7,2.8,3.6,3.0
108,20.7,96.0,6.4,1.9,2.8,1.0
109,21.0,95.0,6.6,2.5,0.8,0.0
110,22.9,90.0,6.7,2.2,0.2,1.0
111,24.0,84.0,7.5,2.4,0.0,0.0
112,24.6,79.0,7.2,2.0,0.0,0.0
113,24.4,78.0,7.2,1.4,0.0,1.0
114,23.9,82.0,4.6,1.2,0.2,0.0
115,24.3,81.0,5.2,1.3,0.0,0.0
116,23.9,80.0,4.0,1.1,0.0,1.0
117,23.4,82.0,3.3,0.8,0.0,0.0
118,21.9,90.0,3.9,1.5,0.8,1.0
119,21.0,96.0,5.0,1.6,5.0,0.0
120,20.9,96.0,3.5,1.3,2.2,0.0
121,20.7,96.0,4.0,1.4,1.0,0.0
122,20.5,96.0,3.9,1.1,0.4,0.0
123,20.6,95.0,2.5,0.7,0.0,0.0
124,20.6,96.0,3.4,1.4,0.0,0.0
125,20.3,96.0,3.5,0.5,3.4,0.0
126,20.3,97.0,1.6,0.1,0.2,0.0
127,20.1,97.0,1.0,0.3,0.0,0.0
128,20.1,97.0,1.4,0.7,0.0,1.0
129,20.1,97.0,1.9,0.4,0.2,0.0
130,22.1,91.0,2.0,1.1,0.0,1.0
131,23.9,81.0,3.2,1.6,0.0,1.0
132,24.0,77.0,5.8,2.4,0.0,0.0
133,25.8,72.0,5.2,2.7,0.0,0.0
134,28.0,64.0,6.7,2.4,0.0,0.0
135,29.2,58.0,6.7,1.9,0.0,0.0
136,26.9,68.0,5.7,1.2,0.0,0.0
137,24.5,84.0,6.0,0.8,0.2,2.0
138,24.3,86.0,4.7,2.6,0.0,0.0
139,24.0,88.0,6.1,2.6,0.0,0.0
140,23.8,88.0,6.9,3.0,0.0,0.0
141,22.9,90.0,6.6,3.1,0.0,0.0
142,22.3,93.0,6.6,1.9,0.2,0.0
143,20.3,95.0,6.9,1.2,6.4,0.0
144,20.3,94.0,4.7,0.4,0.0,0.0
145,20.4,96.0,1.7,0.8,0.0,0.0
146,20.7,97.0,1.8,0.4,0.0,1.0
147,21.1,97.0,1.6,1.0,0.0,0.0
148,21.4,95.0,2.1,1.1,0.0,0.0
149,20.9,95.0,2.2,1.0,0.0,0.0
150,20.8,94.0,3.1,1.4,0.0,1.0
151,20.9,94.0,3.8,1.5,0.0,1.0
152,20.9,92.0,4.0,1.6,0.0,0.0
153,21.2,91.0,3.4,1.4,0.0,2.0
154,23.1,85.0,3.2,1.6,0.0,0.0
155,24.9,75.0,4.6,1.9,0.2,0.0
156,27.3,66.0,5.0,2.0,0.0,2.0
157,28.5,59.0,9.6,4.2,0.0,7.0
158,30.2,51.0,11.3,3.4,0.0,4.0
159,31.3,47.0,11.2,3.0,0.0,1.0
160,32.0,43.0,9.1,3.8,0.0,0.0
161,32.7,44.0,9.1,3.9,0.0,3.0
162,31.7,45.0,10.2,3.1,0.0,0.0
163,32.8,42.0,9.4,2.6,0.0,0.0
164,29.8,48.0,8.5,2.0,0.0,2.0
165,29.9,47.0,6.1,2.2,0.0,6.0
166,28.7,53.0,5.1,0.8,0.0,1.0
167,26.7,60.0,2.1,0.3,0.0,1.0
168,25.5,69.0,1.5,0.8,0.0,0.0
169,25.5,69.0,1.5,0.2,0.0,2.0
170,24.6,78.0,1.6,0.3,0.0,0.0
171,24.5,69.0,1.5,0.8,0.0,0.0
172,24.5,71.0,1.6,0.8,0.0,0.0
173,23.8,73.0,1.6,0.9,0.0,0.0
174,23.9,72.0,2.0,1.0,0.0,0.0
175,22.6,78.0,2.0,0.4,0.0,2.0
176,22.1,87.0,1.9,0.5,0.0,0.0
177,22.8,85.0,2.0,0.8,0.0,0.0
178,25.6,67.0,2.8,1.3,0.0,3.0
179,28.0,58.0,3.8,1.7,0.0,0.0
180,29.9,57.0,5.8,1.7,0.0,1.0
181,31.0,45.0,4.8,2.1,0.0,1.0
182,32.3,48.0,6.2,2.4,0.0,0.0
183,32.3,43.0,6.2,1.7,0.0,1.0
184,32.4,47.0,5.9,1.6,0.0,2.0
185,30.1,58.0,6.9,2.5,0.0,0.0
186,28.8,62.0,8.4,3.3,0.0,2.0
187,26.2,63.0,9.3,2.6,0.0,0.0
188,25.4,68.0,10.2,2.1,0.0,0.0
189,24.5,73.0,5.4,0.6,0.0,0.0
190,23.9,75.0,7.1,0.9,0.0,0.0
191,24.3,74.0,3.1,1.3,0.0,0.0
192,22.9,81.0,3.2,0.8,0.0,0.0
193,23.1,84.0,2.3,0.9,0.0,0.0
194,23.4,82.0,5.1,2.1,0.0,0.0
195,21.8,91.0,8.1,2.8,0.0,0.0
196,21.8,91.0,6.0,1.9,0.0,0.0
197,21.8,93.0,4.3,1.3,0.0,0.0
198,21.3,94.0,3.3,1.0,0.0,0.0
199,21.1,95.0,2.3,0.4,0.0,1.0
200,21.1,96.0,1.8,1.0,0.0,2.0
201,21.8,93.0,3.0,1.7,0.0,0.0
202,23.4,84.0,3.5,1.8,0.0,2.0
203,23.4,83.0,3.6,0.9,0.0,0.0
204,25.8,73.0,4.2,1.8,0.0,1.0
205,27.6,66.0,3.7,1.7,0.0,1.0
206,29.1,56.0,4.8,2.3,0.0,1.0
207,29.7,56.0,5.4,1.8,0.0,0.0
208,29.4,64.0,6.1,3.1,0.0,0.0
209,28.6,70.0,7.1,3.3,0.0,1.0
210,28.5,73.0,6.7,3.1,0.0,2.0
211,27.7,76.0,7.0,3.1,0.0,1.0
212,26.3,80.0,7.1,3.5,0.0,0.0
213,24.7,82.0,8.0,3.7,0.0,1.0
214,24.1,84.0,7.9,2.6,0.0,1.0
215,23.8,85.0,5.8,2.5,0.0,0.0
216,23.3,88.0,4.4,1.5,0.0,0.0
217,22.7,90.0,4.6,1.6,0.0,0.0
218,22.1,91.0,3.4,0.8,0.0,0.0
219,21.6,94.0,2.4,1.1,0.0,0.0
220,21.9,94.0,3.0,1.2,0.0,0.0
221,21.9,94.0,2.4,1.0,0.0,0.0
222,21.9,95.0,1.9,0.8,0.0,0.0
223,21.9,94.0,2.0,1.2,0.0,0.0
224,21.8,93.0,3.0,0.8,0.0,0.0
225,21.8,94.0,2.0,0.8,0.0,0.0
226,24.6,79.0,2.9,1.2,0.0,0.0
227,26.3,57.0,5.1,2.3,0.0,1.0
228,27.7,48.0,8.0,3.7,0.0,2.0
229,28.9,48.0,8.8,3.5,0.0,1.0
230,30.1,47.0,8.2,3.1,0.0,3.0
231,32.1,44.0,7.5,2.2,0.0,0.0
232,31.9,44.0,7.5,2.5,0.0,0.0
233,32.6,41.0,7.3,1.8,0.0,0.0
234,32.6,42.0,5.6,2.0,0.0,0.0
235,32.1,41.0,5.9,1.7,0.0,0.0
236,28.6,70.0,4.7,1.8,0.0,0.0
237,26.7,81.0,7.6,3.2,0.0,1.0
238,25.6,84.0,7.1,2.2,0.0,1.0
239,25.6,85.0,4.9,1.7,0.0,3.0
240,21.6,89.0,6.1,1.5,1.8,0.0
241,20.5,89.0,7.5,3.1,2.0,0.0
242,20.1,87.0,9.9,4.7,0.2,2.0
243,19.7,89.0,9.9,1.3,0.4,0.0
244,20.2,93.0,5.5,2.7,1.2,0.0
245,20.2,92.0,5.0,0.7,0.2,1.0
246,19.9,94.0,2.5,0.8,0.0,2.0
247,19.6,94.0,2.3,0.9,0.0,0.0
248,20.5,93.0,4.8,1.5,0.0,2.0
249,20.4,93.0,4.8,0.6,0.0,6.0
250,22.8,80.0,1.9,1.1,0.0,8.0
251,24.1,79.0,2.8,0.8,0.0,2.0
252,25.9,67.0,2.3,1.3,0.0,2.0
253,27.1,66.0,3.2,1.4,0.0,1.0
254,27.8,63.0,3.7,2.2,0.0,1.0
255,29.4,56.0,4.0,1.8,0.0,1.0
256,30.4,51.0,4.1,1.1,0.0,1.0
257,29.1,66.0,6.8,3.9,0.0,0.0
258,27.6,77.0,8.6,3.6,0.0,1.0
259,25.4,65.0,7.3,1.1,0.0,1.0
260,22.6,77.0,8.7,1.4,0.0,2.0
261,23.3,81.0,4.7,2.0,0.6,0.0
262,24.0,80.0,5.3,1.3,0.0,0.0
263,23.5,87.0,4.8,1.7,0.0,0.0
264,23.3,88.0,5.0,2.2,0.0,0.0
265,22.7,89.0,4.5,1.6,0.0,0.0
266,22.6,89.0,4.2,1.7,0.0,0.0
267,22.0,93.0,4.1,2.1,0.0,0.0
268,21.6,93.0,4.1,0.8,0.0,0.0
269,21.0,95.0,2.5,1.3,0.0,0.0
270,20.5,96.0,3.0,1.3,0.0,0.0
271,20.6,97.0,4.0,1.4,0.0,0.0
272,20.3,96.0,3.7,0.6,0.0,1.0
273,20.5,96.0,2.5,1.2,0.0,1.0
274,21.9,89.0,3.7,1.3,0.0,0.0
275,22.9,85.0,3.6,1.8,0.0,0.0
276,24.0,80.0,3.8,1.4,0.0,3.0
277,25.5,71.0,4.8,1.9,0.0,0.0
278,27.0,68.0,4.9,2.2,0.0,0.0
279,28.1,61.0,5.4,2.1,0.0,0.0
280,28.6,60.0,5.2,3.0,0.0,1.0
281,27.2,72.0,10.0,3.7,0.0,0.0
282,26.3,75.0,8.9,3.7,0.0,1.0
283,25.9,77.0,9.1,4.4,0.0,0.0
284,24.7,77.0,9.6,3.6,0.0,1.0
285,23.7,76.0,9.7,3.4,0.0,0.0
286,23.0,81.0,8.2,3.8,0.0,0.0
287,22.4,84.0,8.2,2.1,0.0,0.0
288,22.0,85.0,3.8,1.5,0.0,0.0
289,21.8,89.0,4.3,2.2,0.0,0.0
290,21.5,90.0,4.3,1.5,0.0,0.0
291,21.0,90.0,4.6,2.5,0.0,0.0
292,20.5,91.0,4.6,0.6,0.0,0.0
293,20.8,90.0,1.8,0.9,0.0,0.0
294,20.3,92.0,2.3,0.7,0.0,0.0
295,19.9,95.0,1.8,1.2,0.0,0.0
296,19.6,95.0,1.9,0.4,0.0,0.0
297,20.4,93.0,1.3,0.6,0.0,0.0
298,22.8,80.0,2.3,1.3,0.0,0.0
299,23.7,74.0,3.1,1.3,0.0,2.0
300,24.9,71.0,3.2,1.1,0.0,0.0
301,26.8,63.0,3.7,1.9,0.0,1.0
302,29.0,55.0,4.6,2.0,0.0,0.0
303,29.4,50.0,4.7,1.3,0.0,0.0
304,30.4,59.0,3.8,1.2,0.0,5.0
305,27.0,74.0,7.0,3.2,0.0,1.0
306,22.4,86.0,9.4,3.7,16.4,1.0
307,23.7,90.0,8.2,3.7,0.2,1.0
308,24.4,87.0,7.7,3.0,0.0,0.0
309,23.8,85.0,6.6,2.9,0.0,2.0
310,23.4,88.0,6.6,1.9,0.0,1.0
311,22.7,89.0,5.0,2.1,0.0,0.0
312,22.5,86.0,4.2,1.4,0.0,0.0
313,22.0,88.0,3.6,0.9,0.0,0.0
314,21.7,90.0,2.4,0.9,0.0,0.0
315,21.4,93.0,1.7,0.7,0.0,0.0
316,20.9,94.0,1.4,0.9,0.0,0.0
317,20.7,95.0,2.0,0.5,0.0,0.0
318,20.6,93.0,2.0,0.9,0.0,0.0
319,20.5,94.0,2.8,1.3,0.0,0.0
320,20.3,95.0,2.5,1.3,0.0,1.0
321,20.1,96.0,2.4,0.5,0.0,1.0
322,21.0,94.0,2.1,1.0,0.0,1.0
323,22.9,86.0,2.0,1.0,0.0,0.0
324,25.2,74.0,2.1,0.8,0.0,3.0
325,26.5,68.0,2.3,1.2,0.0,1.0
326,28.5,58.0,4.7,1.2,0.0,0.0
327,28.6,60.0,6.0,2.1,0.0,0.0
328,30.8,52.0,5.8,1.9,0.0,2.0
329,30.5,52.0,6.9,1.8,0.0,6.0
330,26.5,81.0,7.0,3.7,0.0,1.0
331,21.3,94.0,13.4,2.4,21.2,0.0
332,22.9,88.0,4.3,0.6,0.2,0.0
333,24.1,83.0,3.7,1.4,0.0,1.0
334,23.0,87.0,3.1,0.6,0.2,0.0
335,23.3,93.0,3.3,1.5,0.0,0.0
336,23.2,93.0,4.1,1.2,0.0,1.0
337,22.9,93.0,3.7,1.7,0.0,0.0
338,22.4,94.0,4.1,1.3,0.0,1.0
339,22.2,95.0,2.9,1.2,0.0,0.0
340,21.7,96.0,2.4,0.8,0.0,0.0
341,21.3,97.0,2.2,0.7,0.0,1.0
342,21.6,97.0,1.4,0.5,0.0,1.0
343,21.3,97.0,2.2,0.5,0.0,0.0
344,21.4,97.0,1.7,0.7,0.0,0.0
345,21.6,97.0,2.2,0.6,0.0,1.0
346,22.8,94.0,4.0,1.7,0.0,1.0
347,23.3,83.0,6.5,3.0,0.0,1.0
348,25.1,76.0,6.5,1.9,0.0,0.0
349,26.7,68.0,7.1,3.1,0.0,0.0
350,29.1,61.0,7.0,1.9,0.0,0.0
351,29.5,59.0,6.1,2.2,0.0,1.0
352,30.4,57.0,5.8,1.5,0.0,0.0
353,33.3,57.0,5.4,1.6,0.0,8.0
354,33.3,44.0,6.7,2.3,0.0,10.0
355,31.4,54.0,5.6,1.1,0.0,5.0
356,25.3,68.0,8.4,2.4,0.0,4.0
357,26.3,70.0,4.3,1.4,0.0,0.0
358,25.2,73.0,2.3,1.1,0.0,1.0
359,24.2,84.0,1.8,0.7,0.0,0.0
360,25.2,78.0,4.7,1.1,0.0,0.0
361,24.4,79.0,4.7,0.7,0.0,1.0
362,24.3,70.0,8.0,1.9,0.0,4.0
363,23.5,74.0,4.1,0.7,0.0,0.0
364,23.8,79.0,3.1,1.2,0.0,1.0
365,23.1,83.0,3.1,0.6,0.0,0.0
366,22.7,87.0,3.1,1.6,0.0,0.0
367,22.9,91.0,3.4,1.5,0.0,2.0
368,22.5,92.0,3.4,0.6,0.0,0.0
369,22.7,91.0,1.6,0.8,0.0,1.0
370,23.1,92.0,1.9,0.8,0.0,2.0
371,24.3,83.0,3.8,1.7,0.0,1.0
372,26.7,71.0,4.0,2.0,0.0,1.0
373,29.8,57.0,4.9,1.8,0.0,0.0
374,30.1,58.0,6.0,1.9,0.0,1.0
375,31.8,56.0,5.9,1.7,0.0,0.0
376,31.0,57.0,6.2,1.6,0.0,13.0
377,30.6,58.0,5.2,1.0,0.0,0.0
378,26.9,58.0,9.3,3.8,0.0,0.0
379,26.5,60.0,9.3,1.0,0.0,2.0
380,26.2,66.0,8.3,3.3,0.0,5.0
381,25.0,67.0,8.5,2.4,0.0,0.0
382,23.3,70.0,12.1,2.5,0.0,0.0
383,22.9,74.0,6.6,1.4,0.0,1.0
384,22.4,75.0,4.0,1.0,0.0,0.0
385,23.4,75.0,5.0,2.3,0.0,0.0
386,22.9,76.0,5.0,1.4,0.0,0.0
387,23.0,72.0,4.8,1.9,0.0,0.0
388,23.0,74.0,5.8,2.5,0.0,0.0
389,22.4,73.0,5.8,1.9,0.0,0.0
390,22.0,77.0,4.9,1.3,0.0,0.0
391,21.2,81.0,2.8,1.0,0.0,1.0
392,21.3,83.0,3.1,0.9,0.0,0.0
393,21.5,83.0,2.3,0.5,0.0,0.0
394,22.1,83.0,2.4,0.8,0.0,0.0
395,24.4,68.0,3.9,1.7,0.0,3.0
396,27.1,60.0,4.6,1.3,0.0,1.0
397,28.4,55.0,4.7,1.7,0.0,1.0
398,30.3,53.0,4.4,1.5,0.0,0.0
399,30.8,45.0,4.3,1.2,0.0,0.0
400,31.7,45.0,4.5,1.5,0.0,1.0
401,30.7,46.0,4.6,1.4,0.0,0.0
402,32.6,43.0,3.5,1.2,0.0,1.0
403,23.3,90.0,7.1,1.4,3.2,0.0
404,24.6,70.0,8.1,2.2,0.0,0.0
405,23.7,77.0,7.3,2.4,0.0,1.0
406,23.9,77.0,7.8,1.0,0.0,2.0
407,23.2,83.0,5.5,2.0,0.0,0.0
408,23.7,81.0,4.5,1.2,0.0,0.0
409,23.7,84.0,2.3,0.4,0.0,0.0
410,22.0,92.0,2.8,0.7,0.0,0.0
411,21.8,93.0,2.1,0.9,0.0,0.0
412,22.7,88.0,3.5,1.9,0.0,0.0
413,22.3,92.0,4.0,1.8,0.0,0.0
414,21.7,94.0,3.6,1.3,0.0,0.0
415,21.5,94.0,2.3,1.4,0.0,1.0
416,21.7,91.0,3.4,0.8,0.0,0.0
417,21.4,92.0,2.5,1.0,0.0,3.0
418,22.1,92.0,5.5,2.9,0.0,0.0
419,24.3,83.0,5.5,1.6,0.0,0.0
420,25.7,76.0,4.3,1.8,0.0,0.0
421,27.4,67.0,3.9,1.9,0.0,0.0
422,29.2,59.0,4.2,1.4,0.0,0.0
423,29.6,56.0,4.8,0.8,0.0,0.0
424,32.3,48.0,5.7,0.9,0.0,0.0
425,27.8,80.0,7.5,3.2,0.0,2.0
426,26.3,72.0,8.8,4.8,0.0,3.0
427,21.7,93.0,9.9,2.7,16.4,0.0
428,21.0,84.0,10.7,1.5,13.6,1.0
429,21.6,86.0,4.9,1.3,0.2,3.0
430,22.0,93.0,2.8,0.9,0.0,0.0
431,22.1,93.0,2.3,1.3,0.0,0.0
432,22.3,92.0,3.6,1.6,0.0,0.0
433,22.0,90.0,3.7,0.5,0.0,0.0
434,22.3,89.0,2.7,0.8,0.0,0.0
435,22.0,94.0,2.3,0.4,0.0,0.0
436,22.0,92.0,1.7,0.7,0.0,0.0
437,22.4,87.0,2.7,1.4,0.0,0.0
438,22.3,87.0,3.1,1.0,0.0,0.0
439,21.8,90.0,3.2,1.8,0.0,0.0
440,22.1,86.0,4.3,1.5,0.0,0.0
441,21.8,88.0,4.4,1.5,0.0,2.0
442,23.1,83.0,3.2,0.9,0.0,2.0
443,24.7,77.0,4.9,2.4,0.0,2.0
444,26.7,66.0,7.3,3.0,0.0,1.0
445,28.6,61.0,7.3,2.8,0.0,1.0
446,30.4,52.0,7.4,2.8,0.0,1.0
447,31.3,53.0,6.9,1.9,0.0,2.0
448,32.7,51.0,8.6,1.7,0.0,1.0
449,32.8,47.0,7.7,3.2,0.0,1.0
450,33.0,47.0,7.7,1.9,0.0,0.0
451,32.9,44.0,5.8,2.1,0.0,0.0
452,27.4,75.0,8.5,4.2,0.0,0.0
453,27.1,76.0,8.5,3.2,0.0,0.0
454,26.4,79.0,6.6,1.8,0.0,0.0
455,23.8,93.0,4.7,1.1,1.8,1.0
456,23.8,92.0,4.0,1.0,0.0,0.0
457,23.1,93.0,3.2,0.4,0.0,1.0
458,22.1,89.0,7.1,3.0,0.6,0.0
459,21.8,91.0,7.1,1.9,0.2,0.0
460,21.4,91.0,4.0,1.3,0.0,0.0
461,21.0,94.0,2.9,0.6,0.4,0.0
462,21.1,95.0,2.8,0.7,0.0,0.0
463,21.2,94.0,3.5,1.2,0.0,0.0
464,21.1,95.0,2.6,0.6,0.0,1.0
465,21.7,91.0,2.5,1.1,0.0,1.0
466,22.0,92.0,2.5,0.5,0.0,2.0
467,24.3,78.0,2.0,0.6,0.0,1.0
468,25.9,74.0,3.1,1.1,0.0,0.0
469,26.9,69.0,3.8,1.4,0.0,2.0
470,28.1,66.0,3.8,2.1,0.0,1.0
471,28.5,67.0,4.6,2.3,0.0,3.0
472,26.3,79.0,8.8,3.7,0.0,4.0
473,23.6,80.0,9.5,3.8,6.0,1.0
474,23.6,92.0,9.5,3.6,6.4,0.0
475,23.4,92.0,9.1,2.8,9.4,1.0
476,23.0,94.0,6.4,2.8,0.0,1.0
477,22.8,93.0,4.9,2.3,0.0,1.0
478,22.4,96.0,4.8,1.4,0.6,0.0
479,22.1,96.0,4.8,2.4,0.2,0.0
480,22.2,96.0,4.3,1.6,0.0,0.0
481,22.1,96.0,5.2,2.5,0.0,0.0
482,22.1,96.0,7.2,3.2,0.2,0.0
483,21.9,96.0,7.2,0.9,0.0,0.0
484,21.8,96.0,1.7,0.8,0.0,0.0
485,22.3,93.0,3.3,1.3,0.0,0.0
486,22.5,90.0,2.7,1.5,0.0,0.0
487,22.1,91.0,2.9,0.9,0.2,0.0
488,22.0,93.0,2.7,1.1,0.0,1.0
489,22.2,91.0,3.9,1.1,0.0,1.0
490,24.6,82.0,2.6,0.9,0.0,0.0
491,25.4,77.0,4.1,1.8,0.0,0.0
492,27.6,68.0,4.4,2.0,0.0,0.0
493,29.6,62.0,5.8,2.2,0.0,1.0
494,31.2,55.0,5.8,1.9,0.0,1.0
495,32.2,44.0,7.5,2.4,0.0,2.0
496,33.1,45.0,7.5,2.3,0.0,0.0
497,33.2,42.0,7.4,1.7,0.0,3.0
498,34.0,38.0,6.3,2.3,0.0,0.0
499,33.8,39.0,6.2,1.9,0.0,1.0
500,28.2,78.0,6.5,3.1,0.0,3.0
501,26.1,86.0,6.7,3.1,0.0,0.0
502,22.8,89.0,7.8,1.6,6.8,0.0
503,21.9,94.0,3.5,1.2,0.0,0.0
504,22.2,92.0,3.6,1.3,0.0,0.0
505,22.9,92.0,4.2,1.7,0.2,0.0
506,23.0,95.0,4.2,1.3,0.0,0.0
507,22.6,95.0,2.2,0.5,0.0,0.0
508,22.7,96.0,1.4,0.5,0.0,0.0
509,22.8,96.0,2.0,1.0,0.0,0.0
510,22.8,96.0,2.4,0.8,0.0,0.0
511,22.4,97.0,1.7,0.5,0.0,1.0
512,22.3,97.0,1.4,0.8,0.0,1.0
513,22.3,96.0,2.4,0.4,0.0,0.0
514,23.2,94.0,2.8,1.2,0.0,1.0
515,23.6,87.0,4.3,2.0,0.0,1.0
516,25.5,82.0,3.7,1.9,0.0,3.0
517,26.7,75.0,4.6,1.6,0.0,0.0
518,27.9,71.0,4.2,1.6,0.0,0.0
519,28.1,72.0,4.6,2.5,0.0,0.0
520,25.8,76.0,9.4,4.6,0.0,0.0
521,26.4,81.0,9.4,3.6,0.2,0.0
522,24.8,86.0,8.1,3.9,0.0,0.0
523,24.6,87.0,7.7,3.1,0.0,0.0
524,24.7,86.0,7.2,2.9,0.0,1.0
525,23.7,89.0,7.0,2.5,0.0,2.0
526,23.5,90.0,4.8,1.6,0.0,0.0
527,23.1,90.0,5.3,2.3,0.0,0.0
528,23.0,92.0,5.3,1.9,0.0,0.0
529,22.8,92.0,5.0,1.1,0.0,1.0
530,23.2,91.0,5.8,1.9,0.0,0.0
531,23.4,90.0,5.1,1.9,0.0,0.0
532,23.3,90.0,4.0,1.8,0.0,0.0
533,23.1,89.0,4.5,1.3,0.0,1.0
534,22.9,89.0,3.1,1.3,0.0,1.0
535,22.6,87.0,3.3,0.6,0.0,1.0
