Temp. Ins. (C),Umi. Ins. (%),Vel. Vento (m/s),Raj. Vento (m/s),Chuva (mm),num_ocorrencias
16.4,97.0,3.3,7.0,0.0,1.0
16.7,93.0,3.3,7.7,0.2,0.0
17.5,90.0,3.2,7.0,0.0,1.0
17.6,83.0,3.3,8.5,0.0,1.0
17.5,80.0,3.2,8.6,0.0,0.0
16.8,87.0,2.7,6.3,0.4,1.0
16.2,90.0,3.4,9.5,0.0,1.0
17.3,86.0,2.9,7.8,0.0,0.0
17.1,90.0,3.6,7.1,0.6,0.0
17.4,93.0,3.2,7.6,0.0,3.0
15.8,100.0,3.6,8.4,0.0,1.0
15.6,100.0,2.8,8.1,0.2,0.0
15.8,100.0,2.6,5.6,0.4,0.0
15.8,100.0,2.4,6.7,0.0,1.0
16.1,100.0,2.9,6.1,0.0,0.0
16.3,100.0,2.4,6.0,0.0,0.0
15.9,100.0,3.2,8.9,0.0,0.0
16.3,100.0,3.1,6.9,0.0,0.0
16.5,100.0,2.3,6.7,0.0,0.0
16.6,100.0,3.5,6.6,0.0,0.0
16.5,100.0,2.9,7.2,0.0,0.0
16.3,100.0,2.6,6.2,0.0,0.0
16.2,100.0,2.6,6.3,0.0,0.0
16.3,100.0,1.9,7.3,0.0,2.0
16.5,96.0,2.9,6.9,0.0,0.0
16.9,94.0,3.5,8.7,0.0,0.0
17.3,94.0,3.1,8.0,0.0,1.0
17.3,97.0,2.5,7.8,0.0,0.0
17.8,89.0,2.7,7.4,0.0,0.0
17.2,92.0,3.4,7.1,0.0,0.0
18.0,87.0,3.2,7.0,0.0,0.0
18.1,88.0,2.9,8.0,0.0,0.0
17.8,92.0,3.3,7.7,0.0,1.0
17.8,91.0,3.6,7.9,0.0,0.0
16.9,95.0,3.5,8.2,0.0,1.0
17.6,92.0,3.2,7.8,0.0,0.0
17.3,92.0,3.0,7.8,0.0,1.0
17.0,95.0,2.8,7.1,0.0,0.0
17.1,95.0,3.4,7.2,0.0,0.0
17.1,95.0,3.1,7.0,0.0,0.0
17.1,97.0,2.8,6.5,0.0,0.0
16.7,98.0,2.7,5.7,0.0,1.0
16.9,100.0,2.7,5.3,0.0,1.0
16.7,100.0,2.4,5.6,0.0,0.0
16.5,100.0,1.0,4.5,0.0,0.0
16.8,100.0,2.5,6.4,0.0,0.0
16.9,100.0,2.5,6.1,0.0,0.0
16.9,100.0,2.4,4.9,0.0,0.0
17.5,100.0,2.4,5.2,0.0,0.0
18.3,96.0,2.2,5.6,0.0,0.0
19.0,96.0,1.8,5.6,0.0,2.0
19.3,95.0,1.7,4.3,0.0,0.0
20.8,86.0,2.7,5.6,0.0,0.0
20.8,88.0,3.2,6.3,0.0,0.0
20.7,90.0,3.6,8.4,0.0,0.0
20.4,92.0,3.5,9.1,0.0,1.0
20.0,95.0,4.0,7.8,0.0,2.0
19.5,95.0,3.7,9.1,0.0,0.0
19.4,99.0,2.6,8.7,0.0,1.0
18.6,100.0,2.7,6.8,0.2,0.0
18.3,100.0,3.1,6.9,0.0,1.0
18.1,100.0,3.2,8.5,0.6,0.0
17.9,100.0,3.1,7.5,0.0,0.0
17.0,100.0,3.7,9.4,0.0,0.0
16.8,100.0,3.1,6.9,0.0,0.0
16.9,100.0,3.0,7.3,0.0,0.0
16.8,100.0,2.8,6.5,0.0,0.0
16.7,100.0,2.8,5.9,0.0,0.0
16.7,100.0,2.7,7.0,0.0,1.0
16.9,100.0,2.6,6.9,0.0,0.0
16.8,100.0,2.6,7.1,0.0,1.0
