Temp. Ins. (C),Umi. Ins. (%),Vel. Vento (m/s),Raj. Vento (m/s),Chuva (mm),num_ocorrencias
18.3,100.0,3.4,8.7,0.0,0.0
18.3,100.0,3.5,8.4,0.0,0.0
18.6,97.0,3.2,7.6,0.0,0.0
18.7,96.0,1.9,7.1,0.0,0.0
18.7,100.0,1.9,4.9,0.0,3.0
18.6,100.0,1.8,5.8,0.0,0.0
18.2,100.0,2.0,5.5,0.0,0.0
18.7,99.0,2.6,4.9,0.0,0.0
18.4,100.0,2.4,6.7,0.0,1.0
18.5,99.0,2.8,7.0,0.0,2.0
18.5,100.0,1.9,7.0,0.0,0.0
18.5,100.0,1.9,4.4,0.0,0.0
18.8,100.0,1.9,4.7,0.0,5.0
19.4,98.0,2.1,5.5,0.0,1.0
20.2,93.0,2.4,5.2,0.0,1.0
21.0,88.0,1.9,4.9,0.0,0.0
22.0,86.0,1.8,4.6,0.0,0.0
21.7,91.0,2.4,4.8,0.0,1.0
23.1,85.0,2.8,5.9,0.0,1.0
22.3,89.0,3.1,6.5,0.2,0.0
22.2,93.0,2.9,6.8,0.0,0.0
20.6,99.0,3.0,8.1,0.0,0.0
19.8,100.0,3.4,7.1,0.0,0.0
19.8,100.0,3.0,7.4,0.0,0.0
19.9,100.0,2.2,6.9,0.0,1.0
20.0,100.0,1.8,5.5,0.0,0.0
19.7,100.0,0.9,3.4,0.0,0.0
19.2,100.0,0.8,2.7,0.0,0.0
19.2,100.0,0.9,1.9,0.0,0.0
19.3,100.0,1.3,3.4,0.0,0.0
19.8,100.0,1.0,3.0,0.0,0.0
19.3,100.0,0.7,3.4,0.0,0.0
19.7,100.0,1.0,2.8,0.0,1.0
19.9,100.0,1.1,3.6,0.0,0.0
20.1,100.0,0.9,3.7,0.0,1.0
19.7,100.0,1.0,3.1,0.0,1.0
19.7,100.0,0.9,3.0,0.0,1.0
21.3,98.0,1.3,3.9,0.0,0.0
23.0,89.0,1.5,4.4,0.0,0.0
25.3,80.0,1.6,4.3,0.0,0.0
27.1,67.0,1.4,4.2,0.0,1.0
28.7,57.0,1.8,4.4,0.0,1.0
28.1,55.0,2.0,5.0,0.0,1.0
27.9,57.0,1.9,6.4,0.0,1.0
25.5,71.0,3.8,8.2,0.0,1.0
22.8,100.0,3.1,8.0,0.0,2.0
22.2,100.0,2.1,8.0,0.2,1.0
22.0,88.0,0.6,5.2,0.0,0.0
21.2,86.0,0.4,1.7,0.0,0.0
20.9,92.0,0.8,2.0,0.0,0.0
21.3,94.0,1.1,2.8,0.0,0.0
21.6,83.0,0.8,2.8,0.0,0.0
21.1,88.0,0.3,1.6,0.0,0.0
21.6,92.0,1.0,2.8,0.0,0.0
21.3,90.0,1.1,4.7,0.0,0.0
20.7,97.0,0.8,2.8,0.0,0.0
20.8,100.0,1.5,3.8,0.0,0.0
20.8,100.0,1.1,5.3,0.0,0.0
20.7,100.0,0.4,2.3,0.0,0.0
20.2,100.0,0.6,2.0,0.0,4.0
21.5,100.0,1.1,2.6,0.0,2.0
23.0,89.0,1.7,5.0,0.0,0.0
25.0,77.0,2.0,4.8,0.0,0.0
26.6,67.0,1.8,4.9,0.0,1.0
26.6,57.0,1.8,5.8,0.0,0.0
29.0,51.0,1.9,5.8,0.0,0.0
29.9,47.0,2.3,6.5,0.0,1.0
30.1,46.0,3.0,7.0,0.0,1.0
30.5,40.0,2.4,7.3,0.0,1.0
30.0,42.0,1.8,7.3,0.0,0.0
28.8,44.0,1.7,5.9,0.0,0.0
24.2,94.0,1.4,4.5,0.0,2.0
22.8,100.0,1.3,4.7,0.0,0.0
22.2,100.0,0.5,2.3,0.0,0.0
23.3,81.0,1.1,4.1,0.0,0.0
22.3,90.0,1.1,3.0,0.0,0.0
20.5,96.0,3.5,8.0,0.0,0.0
19.7,97.0,1.5,8.0,0.0,0.0
20.6,87.0,1.4,3.7,0.0,0.0
21.3,94.0,1.6,4.0,0.0,0.0
20.5,96.0,0.6,3.8,0.0,0.0
20.5,96.0,0.9,2.8,0.0,0.0
20.6,92.0,1.4,3.6,0.0,0.0
20.2,93.0,1.0,3.6,0.0,0.0
21.2,88.0,0.9,3.9,0.0,1.0
22.6,81.0,1.5,3.7,0.0,0.0
24.0,78.0,1.3,3.2,0.0,1.0
26.2,67.0,2.2,4.6,0.0,0.0
28.0,60.0,1.8,5.2,0.0,0.0
26.8,71.0,2.9,6.7,0.0,1.0
19.7,100.0,3.4,11.0,14.2,0.0
19.3,100.0,1.2,13.3,13.6,0.0
20.5,100.0,1.8,4.5,4.2,0.0
21.1,100.0,1.8,4.4,0.0,0.0
21.5,100.0,1.4,4.5,0.0,0.0
21.4,100.0,0.8,2.4,0.0,0.0
20.6,100.0,0.9,2.8,0.0,0.0
20.7,100.0,1.1,2.4,0.0,0.0
20.5,100.0,0.6,2.4,0.0,0.0
20.0,100.0,1.0,2.4,0.0,0.0
19.4,100.0,0.5,1.8,0.0,0.0
19.6,100.0,0.4,0.7,0.0,0.0
19.1,100.0,0.3,1.2,0.0,0.0
18.8,100.0,0.2,1.0,0.0,0.0
18.9,100.0,1.1,2.3,0.0,0.0
18.7,100.0,0.9,2.3,0.0,0.0
19.0,100.0,1.2,2.6,0.0,1.0
19.0,100.0,1.9,3.8,0.0,1.0
18.8,100.0,1.2,3.6,0.0,0.0
19.2,100.0,1.5,4.3,0.0,1.0
21.5,96.0,1.7,3.2,0.0,0.0
24.5,66.0,0.9,2.9,0.0,1.0
27.1,45.0,1.1,3.5,0.0,0.0
27.5,37.0,2.4,6.3,0.0,3.0
27.2,41.0,2.2,6.3,0.0,0.0
27.2,50.0,2.6,6.2,0.0,2.0
25.1,78.0,3.5,7.3,0.0,0.0
24.2,85.0,3.6,9.7,0.0,0.0
22.2,97.0,3.1,7.9,0.0,1.0
21.6,98.0,3.5,7.5,0.0,0.0
21.1,99.0,2.4,6.8,0.0,0.0
20.8,99.0,3.0,6.7,0.0,0.0
20.3,100.0,3.5,8.3,0.0,0.0
19.4,100.0,4.2,7.8,0.0,0.0
18.0,100.0,4.5,10.8,0.0,0.0
17.2,100.0,2.6,8.1,0.0,0.0
16.4,100.0,3.3,8.2,0.0,0.0
16.4,99.0,1.5,8.0,0.0,0.0
16.7,94.0,2.4,5.6,0.0,3.0
16.5,100.0,2.0,5.6,0.0,1.0
16.7,100.0,1.7,4.4,0.0,0.0
16.5,98.0,1.3,6.9,0.0,0.0
16.8,97.0,3.0,6.4,0.0,1.0
17.6,93.0,2.8,6.3,0.0,1.0
19.3,81.0,3.3,6.0,0.0,0.0
19.0,84.0,1.9,6.3,0.2,0.0
18.4,89.0,2.5,6.6,0.0,0.0
19.3,83.0,2.2,5.1,0.0,1.0
21.2,84.0,2.5,4.8,0.0,0.0
19.3,88.0,3.6,7.4,0.0,0.0
19.6,87.0,2.8,7.0,0.0,0.0
19.1,92.0,3.0,6.3,0.0,2.0
18.0,97.0,2.5,7.1,0.0,0.0
18.1,90.0,2.7,7.3,0.0,0.0
18.1,94.0,2.5,5.9,0.0,0.0
17.8,94.0,2.5,6.9,0.0,0.0
17.7,98.0,2.4,6.3,0.0,1.0
17.9,100.0,2.1,6.0,0.0,0.0
17.5,97.0,2.3,4.8,0.0,0.0
17.2,98.0,1.6,4.8,0.0,0.0
16.9,100.0,1.8,4.2,0.0,1.0
16.4,100.0,1.0,4.2,0.0,1.0
16.7,100.0,1.9,4.3,0.0,0.0
16.2,100.0,1.6,4.4,0.0,0.0
15.3,100.0,0.6,3.8,0.0,0.0
15.3,100.0,0.9,3.4,0.0,2.0
16.6,97.0,1.2,3.1,0.0,1.0
18.5,85.0,1.5,3.4,0.0,5.0
20.2,76.0,1.9,4.3,0.0,0.0
21.4,72.0,1.7,5.2,0.0,0.0
22.5,66.0,1.9,4.8,0.0,0.0
23.3,66.0,2.1,5.1,0.0,0.0
23.2,66.0,2.5,4.9,0.0,0.0
22.5,75.0,3.5,6.9,0.0,0.0
21.9,77.0,3.9,7.6,0.0,0.0
20.8,88.0,4.6,8.0,0.0,0.0
19.6,92.0,3.4,8.0,0.0,1.0
19.1,98.0,2.0,7.5,0.0,0.0
19.1,99.0,1.8,6.1,0.0,0.0
18.7,97.0,1.9,4.2,0.0,0.0
18.8,98.0,1.3,5.3,0.0,0.0
18.7,100.0,1.3,3.9,0.0,1.0
18.9,100.0,1.1,2.5,0.0,2.0
18.9,100.0,1.1,2.5,0.0,0.0
19.0,99.0,1.0,2.7,0.0,0.0
19.0,99.0,0.8,3.3,0.0,0.0
19.4,93.0,1.1,3.3,0.0,1.0
18.8,97.0,1.2,3.6,0.0,0.0
18.5,98.0,1.3,3.9,0.0,1.0
18.7,97.0,0.8,4.0,0.0,1.0
18.9,96.0,0.9,2.6,0.0,1.0
20.3,87.0,0.9,2.7,0.0,3.0
21.9,80.0,1.0,2.8,0.0,0.0
23.4,72.0,1.4,3.4,0.0,0.0
24.8,60.0,0.8,3.4,0.0,1.0
26.7,50.0,1.4,3.4,0.0,0.0
27.7,41.0,1.6,6.5,0.0,1.0
29.1,33.0,1.9,6.6,0.0,1.0
23.7,83.0,4.0,7.7,0.0,0.0
22.7,87.0,4.0,9.6,0.0,1.0
21.8,89.0,2.5,7.9,0.0,0.0
20.9,93.0,2.5,5.9,0.0,1.0
20.0,99.0,1.7,5.4,0.0,0.0
19.2,100.0,2.6,5.3,0.0,0.0
19.1,100.0,1.0,4.6,0.0,0.0
18.1,100.0,0.5,2.5,0.0,0.0
17.8,100.0,0.7,2.3,0.0,0.0
17.5,100.0,0.7,1.9,0.0,0.0
17.4,100.0,0.3,1.3,0.0,0.0
16.8,100.0,0.4,1.0,0.0,0.0
16.5,100.0,0.8,1.2,0.0,0.0
16.0,100.0,0.6,2.0,0.0,0.0
17.1,100.0,1.0,1.6,0.0,1.0
16.2,100.0,1.5,3.3,0.0,0.0
16.7,100.0,1.5,3.7,0.0,0.0
17.9,100.0,1.1,3.0,0.0,0.0
19.7,94.0,1.6,3.9,0.0,0.0
21.0,86.0,2.0,4.2,0.0,1.0
22.2,71.0,2.5,4.4,0.0,0.0
23.5,64.0,2.3,5.5,0.0,0.0
24.5,59.0,2.6,5.5,0.0,0.0
24.2,72.0,2.8,6.7,0.0,1.0
23.0,73.0,4.0,7.9,0.0,0.0
22.0,77.0,3.4,7.9,0.0,0.0
21.0,85.0,3.0,8.9,0.0,0.0
19.7,94.0,2.3,7.7,0.0,0.0
19.4,98.0,2.5,6.0,0.0,1.0
19.3,99.0,3.2,8.2,0.0,0.0
19.0,100.0,2.0,8.2,0.0,0.0
19.3,100.0,1.4,5.2,0.0,0.0
19.3,98.0,2.8,6.0,0.0,0.0
19.1,100.0,2.2,6.0,0.0,1.0
18.7,100.0,1.6,5.1,0.0,0.0
18.7,100.0,1.2,5.0,0.0,0.0
18.6,100.0,1.7,4.1,0.0,1.0
18.4,100.0,1.8,4.9,0.0,0.0
18.2,100.0,1.5,3.8,0.0,0.0
17.9,100.0,1.5,4.0,0.0,1.0
18.6,99.0,1.9,4.5,0.0,1.0
19.1,96.0,2.6,6.5,0.0,0.0
20.5,86.0,2.1,6.2,0.0,0.0
21.1,83.0,2.4,5.6,0.0,1.0
21.9,79.0,3.0,6.8,0.0,1.0
21.9,80.0,3.1,6.9,0.0,0.0
22.1,79.0,3.8,7.4,0.0,0.0
22.4,85.0,3.4,7.8,0.0,0.0
21.8,88.0,4.1,8.1,0.0,0.0
21.3,91.0,3.5,8.3,0.0,1.0
20.0,92.0,3.6,7.7,0.0,1.0
19.6,95.0,3.6,8.0,0.0,0.0
19.3,98.0,3.3,8.0,0.0,0.0
19.4,97.0,2.9,7.1,0.0,0.0
19.2,98.0,2.5,5.8,0.0,0.0
19.5,100.0,3.1,7.4,0.0,0.0
19.6,99.0,2.2,5.9,0.0,0.0
19.2,97.0,2.0,5.2,0.0,0.0
19.1,99.0,1.5,5.2,0.0,1.0
18.9,100.0,2.0,4.3,0.0,0.0
18.6,100.0,1.4,5.0,0.0,1.0
18.4,100.0,0.9,2.8,0.0,0.0
18.3,100.0,1.3,4.2,0.0,0.0
18.3,100.0,0.7,3.6,0.0,1.0
18.8,100.0,0.9,3.1,0.0,1.0
19.3,100.0,1.8,5.1,0.0,0.0
19.7,98.0,1.4,4.7,0.0,0.0
20.2,98.0,1.3,4.6,0.0,0.0
19.7,100.0,1.0,3.8,2.4,1.0
20.1,100.0,2.0,4.9,1.4,0.0
21.0,100.0,1.4,4.9,0.8,1.0
21.0,100.0,0.7,5.5,0.0,1.0
19.9,100.0,1.8,3.9,6.2,2.0
20.3,100.0,0.9,3.9,0.4,1.0
20.5,100.0,1.4,3.2,0.0,1.0
19.8,100.0,1.2,4.1,0.2,0.0
19.5,100.0,1.6,4.1,0.0,0.0
19.4,100.0,0.9,3.4,0.0,0.0
19.2,100.0,2.7,6.4,0.0,0.0
19.0,100.0,3.2,7.9,0.0,0.0
18.8,100.0,3.0,6.7,0.0,0.0
18.6,100.0,2.7,5.6,0.0,0.0
18.6,100.0,3.4,6.6,0.0,0.0
18.7,100.0,2.4,6.6,0.0,0.0
18.8,100.0,2.5,6.0,0.0,0.0
18.9,100.0,2.1,6.3,0.0,0.0
18.8,100.0,2.1,5.1,0.0,0.0
18.8,100.0,2.2,4.7,0.0,0.0
19.1,100.0,1.9,4.7,0.0,0.0
19.4,100.0,2.5,5.7,0.0,0.0
20.1,100.0,2.4,5.6,0.0,1.0
19.7,100.0,2.8,6.1,0.2,3.0
19.9,100.0,2.6,6.0,0.4,0.0
20.9,98.0,2.8,7.2,0.0,0.0
19.8,100.0,2.8,6.2,0.0,4.0
21.0,97.0,2.3,5.5,0.0,0.0
19.9,100.0,2.8,6.0,0.4,0.0
19.6,100.0,3.8,8.9,0.0,0.0
18.9,100.0,3.5,8.9,0.2,1.0
18.8,100.0,2.5,9.0,0.0,0.0
18.7,100.0,3.2,8.4,0.0,0.0
18.5,100.0,3.4,7.9,0.0,0.0
18.4,100.0,3.2,7.9,0.0,0.0
18.2,100.0,2.8,7.4,0.0,0.0
18.2,100.0,2.5,6.8,0.0,0.0
18.2,100.0,2.4,7.0,0.0,0.0
17.8,100.0,2.4,5.3,0.0,0.0
17.6,100.0,3.2,7.6,0.0,0.0
17.7,100.0,2.6,7.5,0.0,0.0
17.9,100.0,3.5,7.6,0.0,0.0
17.9,100.0,2.5,7.9,0.0,0.0
17.9,100.0,2.5,5.9,0.0,0.0
17.8,100.0,2.3,7.5,0.0,0.0
18.1,100.0,2.9,6.5,0.0,1.0
19.3,99.0,2.6,6.2,0.0,0.0
19.4,92.0,2.7,6.3,0.0,1.0
19.9,89.0,3.2,6.5,0.0,0.0
20.1,85.0,3.0,6.6,0.0,0.0
20.3,88.0,3.6,6.6,0.0,0.0
20.6,82.0,3.2,8.5,0.0,0.0
20.2,87.0,2.9,6.8,0.0,1.0
20.3,83.0,3.4,7.0,0.0,0.0
19.3,91.0,3.1,7.0,0.0,0.0
18.6,99.0,3.3,7.2,0.0,0.0
18.3,97.0,3.0,7.6,0.0,0.0
18.0,97.0,3.2,7.4,0.0,0.0
18.0,99.0,2.7,7.3,0.0,0.0
17.8,99.0,2.8,6.3,0.0,0.0
17.8,99.0,3.2,6.4,0.0,0.0
17.4,100.0,2.0,5.3,0.0,0.0
17.0,100.0,2.3,4.5,0.0,0.0
16.4,100.0,1.3,4.4,0.0,0.0
16.1,100.0,1.1,4.0,0.0,0.0
15.9,100.0,1.0,2.9,0.0,0.0
15.8,100.0,1.4,4.5,0.0,0.0
15.7,100.0,1.9,4.5,0.0,0.0
16.5,99.0,1.7,4.5,0.0,1.0
17.5,94.0,1.5,3.9,0.0,3.0
19.0,80.0,2.1,4.0,0.0,1.0
20.5,75.0,2.7,5.5,0.0,0.0
21.0,74.0,2.7,7.1,0.0,0.0
21.6,70.0,3.7,7.4,0.0,3.0
21.5,67.0,3.8,7.9,0.0,0.0
21.9,66.0,3.4,7.3,0.0,0.0
21.2,69.0,3.5,7.8,0.0,0.0
20.4,74.0,3.9,8.9,0.0,0.0
19.5,81.0,2.9,8.9,0.0,0.0
18.2,88.0,2.9,7.3,0.0,0.0
17.7,94.0,2.7,6.4,0.0,1.0
17.3,95.0,3.1,7.3,0.0,0.0
17.2,97.0,2.5,6.8,0.0,0.0
16.9,98.0,2.6,5.3,0.0,0.0
17.0,99.0,2.3,5.3,0.0,0.0
17.0,100.0,2.3,6.0,0.0,0.0
16.9,100.0,1.6,5.0,0.0,0.0
16.4,100.0,2.0,4.4,0.0,0.0
16.2,100.0,1.8,4.5,0.0,0.0
16.4,100.0,1.6,5.0,0.0,0.0
16.6,100.0,1.3,4.1,0.0,0.0
16.5,100.0,1.3,2.8,0.0,0.0
17.1,100.0,1.5,3.1,0.0,0.0
19.0,90.0,1.6,4.0,0.0,0.0
19.3,87.0,1.6,4.4,0.0,0.0
21.3,79.0,1.7,4.9,0.0,0.0
22.2,74.0,1.7,4.7,0.0,0.0
23.2,66.0,1.2,4.1,0.0,0.0
23.9,65.0,1.6,3.5,0.0,0.0
24.1,68.0,2.1,3.8,0.0,2.0
24.2,69.0,1.8,4.5,0.0,0.0
20.9,93.0,4.5,10.0,0.0,1.0
20.0,98.0,2.7,8.3,0.0,2.0
19.1,100.0,2.8,6.5,0.0,0.0
18.7,100.0,2.6,6.1,0.0,0.0
18.3,100.0,2.2,4.9,0.0,0.0
18.4,100.0,1.2,4.5,0.0,0.0
18.3,100.0,0.7,2.9,0.0,0.0
17.5,100.0,0.5,1.4,0.0,0.0
17.4,100.0,1.0,1.6,0.0,0.0
17.2,100.0,0.4,1.7,0.0,0.0
16.9,100.0,0.4,1.0,0.0,0.0
16.9,100.0,0.5,1.6,0.0,0.0
17.2,100.0,1.0,2.6,0.0,0.0
17.6,100.0,1.4,4.4,0.0,0.0
17.4,100.0,0.7,4.4,0.0,1.0
17.5,100.0,1.0,3.3,0.0,0.0
19.1,100.0,1.1,3.0,0.0,0.0
21.6,86.0,1.0,3.4,0.0,1.0
24.0,70.0,1.1,3.5,0.0,0.0
26.2,63.0,2.1,4.4,0.0,0.0
26.0,64.0,2.2,7.0,0.0,0.0
27.5,54.0,2.5,6.3,0.0,2.0
28.8,49.0,2.8,7.0,0.0,1.0
23.9,75.0,3.7,7.2,0.0,0.0
24.3,74.0,2.3,6.0,0.0,0.0
23.8,76.0,2.2,5.7,0.0,0.0
22.5,88.0,2.3,4.8,0.0,0.0
21.5,88.0,0.8,4.7,0.0,0.0
21.2,93.0,0.9,1.8,0.0,0.0
21.2,98.0,0.8,2.5,0.0,1.0
21.2,100.0,1.4,2.3,0.0,0.0
21.1,97.0,0.8,3.0,0.0,0.0
20.3,100.0,1.5,3.3,0.0,0.0
20.1,100.0,1.0,3.3,0.0,0.0
20.0,100.0,0.8,1.9,0.0,0.0
19.8,100.0,0.8,2.5,0.0,0.0
19.1,100.0,0.5,2.6,0.0,0.0
18.8,100.0,0.5,1.3,0.0,1.0
18.7,100.0,0.8,2.8,0.0,0.0
18.9,100.0,0.9,2.8,0.0,1.0
21.0,95.0,1.3,2.3,0.0,1.0
23.3,82.0,2.0,4.0,0.0,1.0
24.4,73.0,3.1,6.2,0.0,0.0
26.4,70.0,2.7,6.2,0.0,0.0
27.5,58.0,2.1,6.2,0.0,0.0
28.2,49.0,3.2,7.7,0.0,1.0
29.2,47.0,2.1,7.7,0.0,0.0
29.3,46.0,1.5,5.8,0.0,2.0
25.2,78.0,2.9,6.9,0.0,2.0
23.7,94.0,2.7,7.3,0.0,0.0
22.6,98.0,2.2,6.2,0.0,0.0
21.8,99.0,1.7,4.9,0.0,0.0
21.7,98.0,1.2,3.6,0.0,0.0
22.0,92.0,1.1,2.5,0.0,1.0
21.9,91.0,0.8,2.1,0.0,0.0
21.1,94.0,0.6,2.0,0.0,0.0
20.8,96.0,0.7,1.3,0.0,0.0
20.7,99.0,0.2,1.5,0.0,0.0
20.3,100.0,0.8,1.4,0.0,0.0
20.0,100.0,0.3,1.6,0.0,1.0
19.7,100.0,0.5,1.4,0.0,0.0
19.4,100.0,0.5,1.0,0.0,1.0
19.5,100.0,0.7,1.0,0.0,1.0
20.0,100.0,1.2,3.1,0.0,0.0
20.2,100.0,1.3,4.1,0.0,1.0
18.4,100.0,1.1,6.5,7.8,1.0
19.4,100.0,1.1,4.0,3.8,0.0
22.3,91.0,1.9,4.3,0.2,1.0
24.9,75.0,3.5,7.1,0.0,0.0
24.3,73.0,2.9,6.8,0.0,0.0
22.2,96.0,1.8,6.0,3.2,0.0
21.0,99.0,2.4,6.1,0.2,0.0
21.0,100.0,0.9,6.0,0.4,0.0
20.6,100.0,0.5,3.0,0.8,1.0
20.3,100.0,0.6,3.4,0.0,0.0
19.9,100.0,0.3,2.5,0.0,0.0
19.9,100.0,1.0,2.6,0.0,0.0
19.7,100.0,0.4,2.6,0.0,0.0
19.8,100.0,0.7,2.5,0.0,0.0
20.0,100.0,0.9,2.6,0.0,0.0
20.1,100.0,1.4,3.4,0.0,0.0
20.0,100.0,1.3,3.6,0.0,0.0
19.5,100.0,1.3,3.9,0.0,0.0
19.3,100.0,1.1,3.9,0.0,0.0
19.3,100.0,1.1,4.9,0.0,0.0
19.1,100.0,1.2,3.4,0.0,0.0
18.8,100.0,0.8,3.4,0.0,1.0
18.8,100.0,1.1,3.1,0.6,0.0
19.3,100.0,1.8,4.7,0.0,0.0
19.4,100.0,2.8,7.1,0.0,1.0
19.9,100.0,2.9,6.2,0.2,0.0
19.3,100.0,2.8,6.5,0.2,0.0
20.4,99.0,3.0,6.5,0.0,0.0
20.3,94.0,3.3,6.4,0.0,0.0
21.4,88.0,3.1,6.9,0.0,1.0
20.4,92.0,2.6,7.4,0.0,0.0
20.3,89.0,2.4,6.0,0.0,0.0
19.7,97.0,2.2,7.0,0.0,0.0
19.0,99.0,1.9,5.1,0.0,0.0
18.7,100.0,2.2,3.9,0.0,0.0
18.8,100.0,1.7,4.5,0.0,0.0
18.1,100.0,3.4,7.1,0.0,0.0
17.7,100.0,2.8,7.1,0.0,0.0
18.1,100.0,1.5,5.9,0.0,1.0
18.3,100.0,1.3,3.6,0.0,0.0
18.2,100.0,1.4,3.3,0.0,0.0
17.7,100.0,1.6,3.4,0.0,0.0
17.9,100.0,1.2,3.5,0.0,0.0
17.9,100.0,0.9,2.9,0.0,0.0
17.9,100.0,1.0,2.5,0.0,0.0
17.5,100.0,1.1,2.3,0.0,0.0
18.2,100.0,1.7,4.1,0.0,0.0
20.1,89.0,1.7,4.2,0.2,0.0
21.6,83.0,1.8,4.0,0.0,1.0
22.1,81.0,2.0,4.4,0.0,0.0
23.6,73.0,1.7,4.6,0.0,1.0
23.8,74.0,1.9,4.3,0.0,0.0
24.4,79.0,2.9,6.0,0.0,0.0
23.6,84.0,3.1,6.9,0.0,0.0
23.0,86.0,3.6,6.1,0.0,0.0
22.0,91.0,3.4,6.4,0.0,1.0
21.1,99.0,3.1,8.1,0.0,0.0
20.4,100.0,2.4,6.6,0.0,0.0
20.0,100.0,2.0,4.9,0.0,0.0
19.9,100.0,1.2,4.7,0.0,0.0
20.1,100.0,0.9,3.7,0.0,0.0
20.1,100.0,1.2,3.2,0.0,0.0
19.4,100.0,0.5,2.7,0.0,0.0
19.6,100.0,0.8,2.0,0.0,0.0
19.7,100.0,1.1,3.1,0.0,0.0
19.8,99.0,1.4,3.9,0.0,0.0
19.6,100.0,0.8,2.7,0.0,0.0
18.4,100.0,0.3,2.0,0.0,0.0
18.9,100.0,1.0,2.6,0.0,0.0
18.1,100.0,1.0,2.8,0.0,0.0
19.4,100.0,1.2,3.8,0.0,2.0
21.2,87.0,3.0,6.5,0.0,1.0
22.9,79.0,3.5,6.8,0.0,2.0
25.2,69.0,3.2,7.4,0.0,0.0
26.5,65.0,2.6,6.6,0.0,0.0
27.9,57.0,3.6,9.6,0.0,0.0
28.3,50.0,3.0,9.0,0.0,0.0
27.3,51.0,3.8,8.9,0.0,1.0
27.2,56.0,3.0,10.1,0.0,0.0
26.3,64.0,2.9,8.0,0.0,1.0
20.8,95.0,5.0,12.5,2.0,1.0
19.3,100.0,1.0,12.5,1.6,0.0
19.5,100.0,1.0,3.1,0.0,0.0
19.7,100.0,0.9,4.2,0.0,0.0
19.8,100.0,1.1,3.5,0.0,0.0
19.8,100.0,1.3,3.5,0.0,0.0
19.5,100.0,0.9,3.3,0.0,0.0
19.4,100.0,0.9,2.5,0.0,0.0
19.5,100.0,1.7,5.1,0.0,0.0
19.3,100.0,1.6,4.9,0.0,0.0
19.1,100.0,1.3,4.3,0.0,0.0
19.7,100.0,2.1,5.2,0.0,0.0
19.9,100.0,1.7,4.2,0.0,0.0
19.4,100.0,1.3,4.2,0.0,1.0
20.4,100.0,1.8,4.1,0.0,0.0
20.5,100.0,1.1,4.2,0.6,1.0
20.4,100.0,2.2,6.2,2.4,1.0
20.4,100.0,2.6,7.5,3.0,1.0
22.6,95.0,4.0,8.1,0.2,1.0
23.7,92.0,4.1,10.7,0.0,0.0
24.1,90.0,3.8,10.5,0.0,0.0
24.3,87.0,4.0,10.6,0.0,0.0
24.4,85.0,4.3,11.4,0.0,0.0
21.3,100.0,1.4,10.3,5.8,5.0
21.1,100.0,3.3,7.6,4.6,0.0
20.6,100.0,1.7,8.1,3.4,0.0
19.9,100.0,2.1,6.7,0.0,1.0
20.1,100.0,3.3,8.1,0.0,0.0
19.8,100.0,1.5,10.7,0.0,0.0
19.9,100.0,0.4,4.3,0.0,0.0
18.5,100.0,1.3,6.1,0.0,0.0
18.2,100.0,1.1,4.1,0.0,1.0
17.9,100.0,1.0,3.3,0.0,0.0
17.9,100.0,0.9,2.8,0.0,0.0
17.6,100.0,1.2,3.3,0.0,0.0
17.4,100.0,0.8,3.8,0.0,0.0
17.3,100.0,1.0,2.9,0.0,0.0
17.3,100.0,0.6,2.1,0.0,0.0
16.7,100.0,0.5,2.0,0.0,0.0
18.3,95.0,1.7,3.4,0.0,2.0
20.5,86.0,2.5,5.0,0.0,0.0
21.9,76.0,3.1,6.4,0.0,0.0
22.8,72.0,3.5,7.5,0.0,0.0
22.9,63.0,4.0,9.7,0.0,0.0
23.8,54.0,3.8,9.7,0.0,1.0
24.1,56.0,3.1,9.3,0.0,0.0
24.5,49.0,4.0,9.0,0.0,0.0
24.0,48.0,3.9,9.0,0.0,1.0
23.6,32.0,4.0,9.9,0.0,0.0
21.6,35.0,2.6,9.5,0.0,0.0
19.4,50.0,1.7,6.4,0.0,0.0
19.2,57.0,3.2,6.8,0.0,0.0
18.4,54.0,2.5,7.0,0.0,0.0
18.5,52.0,1.7,7.3,0.0,0.0
17.9,58.0,1.7,5.3,0.0,0.0
17.5,63.0,2.1,7.2,0.0,0.0
16.1,79.0,1.8,5.8,0.0,0.0
16.9,72.0,2.6,6.6,0.0,0.0
16.3,73.0,2.8,7.6,0.0,0.0
15.1,80.0,2.8,6.8,0.0,0.0
14.3,83.0,1.7,6.1,0.0,1.0
13.9,85.0,1.3,4.3,0.0,3.0
14.2,81.0,1.9,3.7,0.0,1.0
16.3,66.0,1.3,3.9,0.0,3.0
16.9,60.0,1.3,4.1,0.0,1.0
17.9,55.0,1.3,4.6,0.0,1.0
18.8,47.0,1.7,4.4,0.0,0.0
20.6,43.0,1.2,5.1,0.0,0.0
19.9,49.0,2.2,5.1,0.0,0.0
18.8,49.0,2.3,7.3,0.0,0.0
18.9,57.0,2.8,6.6,0.0,0.0
17.8,67.0,3.2,7.6,0.0,0.0
16.1,82.0,3.6,7.4,0.0,0.0
15.4,87.0,2.6,7.4,0.0,0.0
14.5,90.0,2.8,6.6,0.0,0.0
14.1,90.0,2.2,6.7,0.0,1.0
13.8,93.0,2.7,5.2,0.0,0.0
13.5,92.0,2.6,6.0,0.0,0.0
