Data,Zona,Bairro,Ponto,Status,Sentido,Referencia,HorarioInicio,HorarioFinal,Logradouro
2023-11-29,Zona Sul,Santo Amaro,5,Inativo Intransitável,CENTRO/BAIRRO,R ENG ALLYRIO HUGUENEY DE MATTOS,15:47:00,18:55:00,AV INTERLAGOS
2023-11-29,Zona Sul,Santo Amaro,5,Inativo Intransitável,CENTRO/BAIRRO,PC DOM FRANCISCO DE SOUSA,16:00:00,18:24:00,AV VITOR MANZINI
2023-11-29,Zona Sul,Santo Amaro,5,Inativo Transitável,INTERLAGOS/CASTELO,R PROF CAMPOS DE OLIVEIRA,16:19:00,19:03:00,AV DAS NACOES UNIDAS
2023-11-29,Zona Sul,Santo Amaro,5,Inativo Transitável,INTERLAGOS/CASTELO,R PROF CAMPOS DE OLIVEIRA,16:19:00,17:19:00,AV DAS NACOES UNIDAS
2023-11-29,Zona Sul,Jabaquara,1,Inativo Transitável,MARGINAL/IMIGRANTES,AV PROF ABRAAO DE MORAIS,02:04:00,02:23:00,RV DOS IMIGRANTES
2023-11-29,Zona Sul,Vila Mariana,1,Inativo Transitável,MARGINAL/IMIGRANTES,AC ESQ A RODOVIA DOS IMIGRANTES,02:26:00,04:45:00,AV AFFONSO D'ESCRAGNOLLE TAUNAY
2023-12-08,Zona Sul,Capela do Socorro,1,Inativo Transitável,BAIRRO/CENTRO,R PROF FRANCISCO MARQUES OLIVEIRA JR.,07:31:00,08:54:00,AV CARLOS BARBOSA SANTOS
2023-12-10,Zona Sul,Santo Amaro,1,Inativo Intransitável,AMBOS,R JAIME DE OLIVEIRA SOUZA,23:32:00,23:42:00,AV DAS NACOES UNIDAS
2023-12-23,Zona Sul,Santo Amaro,5,Inativo Intransitável,AMBOS,R ENG DAGOBERTO SALLES FILHO,16:49:00,19:11:00,AV INTERLAGOS
2023-12-23,Zona Sul,Santo Amaro,5,Inativo Intransitável,INTERLAGOS/CASTELO,R JAIME DE OLIVEIRA SOUZA,16:50:00,18:27:00,AV DAS NACOES UNIDAS
2023-12-23,Zona Sul,Santo Amaro,5,Inativo Intransitável,CASTELO/INTERLAGOS,R JAIME DE OLIVEIRA SOUZA,17:03:00,18:27:00,AV DAS NACOES UNIDAS
2023-12-23,Zona Sul,Santo Amaro,5,Inativo Intransitável,INTERLAGOS/CASTELO,R JAIME DE OLIVEIRA SOUZA,19:32:00,19:36:00,AV DAS NACOES UNIDAS
2023-12-23,Zona Sul,Santo Amaro,5,Inativo Intransitável,INTERLAGOS/CASTELO,R PROF CAMPOS DE OLIVEIRA,19:52:00,20:57:00,AV DAS NACOES UNIDAS
2023-12-23,Zona Sul,Vila Mariana,1,Inativo Transitável,AMBOS,R RIBEIRO LACERDA,17:26:00,01:16:00,AV PROF ABRAAO DE MORAIS
2024-01-08,Zona Sul,Santo Amaro,1,Inativo Transitável,AMBOS,VD DOS BANDEIRANTES-DR ANTONIO MARCONDES DE ALMEIDA,15:16:00,17:05:00,AV DOS BANDEIRANTES
2024-01-08,Zona Sul,Vila Mariana,2,Inativo Transitável,BAIRRO/CENTRO,AV JAMARIS,15:28:00,18:35:00,AV IBIRAPUERA
2024-01-08,Zona Sul,Vila Mariana,2,Inativo Transitável,AMBOS,AV ANTONIO J. DE MOURA ANDRADE,15:41:00,17:34:00,AV REPUBLICA DO LIBANO
2024-01-09,Zona Sul,Vila Mariana,4,Inativo Intransitável,AMBOS,VD GAL EUCLIDES DE FIGUEIREDO,17:31:00,19:20:00,AV VINTE E TRES DE MAIO
2024-01-09,Zona Sul,Vila Mariana,4,Inativo Intransitável,AMBOS,AV ANTONIO J. DE MOURA ANDRADE,17:53:00,19:20:00,AV REPUBLICA DO LIBANO
2024-01-09,Zona Sul,Vila Mariana,4,Inativo Transitável,NAO INFORMADO,R GROENLANDIA,17:55:00,20:50:00,AV BRIG LUIS ANTONIO
2024-01-09,Zona Sul,Vila Mariana,4,Inativo Transitável,BAIRRO/CENTRO,AV MOEMA,18:02:00,19:36:00,AV IBIRAPUERA
2024-01-10,Zona Sul,Santo Amaro,4,Inativo Intransitável,DIADEMA/MARGINAL,R STO ARCADIO,17:42:00,18:08:00,AV ROQUE PETRONI JUNIOR
2024-01-10,Zona Sul,Santo Amaro,4,Inativo Intransitável,CENTRO/BAIRRO,AV ROQUE PETRONI JUNIOR,18:16:00,20:34:00,AV STO AMARO
2024-01-10,Zona Sul,Santo Amaro,4,Inativo Transitável,INTERLAGOS/CASTELO,R JAIME DE OLIVEIRA SOUZA,21:45:00,23:12:00,AV DAS NACOES UNIDAS
2024-01-10,Zona Sul,Santo Amaro,4,Inativo Transitável,INTERLAGOS/CASTELO,R PROF CAMPOS DE OLIVEIRA,23:08:00,01:42:00,AV DAS NACOES UNIDAS
2024-01-10,Zona Sul,Vila Mariana,1,Inativo Intransitável,AMBOS,VD GAL EUCLIDES DE FIGUEIREDO,21:31:00,23:26:00,AV VINTE E TRES DE MAIO
2024-01-12,Zona Sul,Capela do Socorro,1,Inativo Intransitável,CENTRO/BAIRRO,ALTURA N. 752,18:15:00,19:26:00,AV GUARAPIRANGA
2024-01-12,Zona Sul,Santo Amaro,3,Inativo Intransitável,CENTRO/BAIRRO,AV ROQUE PETRONI JUNIOR,18:09:00,18:57:00,AV SANTO AMARO
2024-01-12,Zona Sul,Santo Amaro,3,Inativo Intransitável,AMBOS,R DOS BRASOES,18:46:00,18:49:00,AV SANTO AMARO
2024-01-12,Zona Sul,Santo Amaro,3,Inativo Intransitável,INTERLAGOS/CASTELO,R PROF CAMPOS DE OLIVEIRA,19:58:00,21:32:00,AV DAS NACOES UNIDAS
2024-01-19,Zona Sul,Santo Amaro,2,Inativo Intransitável,BAIRRO/CENTRO,R DOS BRASOES,20:06:00,20:22:00,AV STO AMARO
2024-01-19,Zona Sul,Santo Amaro,2,Inativo Transitável,INTERLAGOS/CASTELO,AV JOAO DORIA,20:20:00,22:00:00,AV DAS NACOES UNIDAS
2024-01-19,Zona Sul,Ipiranga,3,Inativo Intransitável,AMBOS,AV DO ESTADO,19:13:00,19:24:00,R PRES BATISTA PEREIRA
2024-01-19,Zona Sul,Ipiranga,3,Inativo Intransitável,IMIGRANTES/ANCHIETA,R ARMANDO MATTAR,20:12:00,22:00:00,AV PRES TANCREDO NEVES
2024-01-19,Zona Sul,Ipiranga,3,Inativo Intransitável,BAIRRO/CENTRO,AV DO ESTADO,20:13:00,20:57:00,R PRES BATISTA PEREIRA
2024-01-19,Zona Sul,Jabaquara,1,Inativo Intransitável,AMBOS,R PROF FRANCISCO EMYDIO DA FONSECA TELLES,18:20:00,22:00:00,R ALBA
2024-01-19,Zona Sul,Vila Mariana,4,Inativo Intransitável,AMBOS,PC LEONOR KAUPA,18:24:00,18:57:00,R RIBEIRO LACERDA
2024-01-19,Zona Sul,Vila Mariana,4,Inativo Intransitável,AEROPORTO/SANTANA,AL UANANA,18:34:00,18:57:00,AV RUBEN BERTA
2024-01-19,Zona Sul,Vila Mariana,4,Inativo Intransitável,S PAULO/SANTOS,AV BOSQUE DA SAUDE,18:57:00,18:57:00,AV PROF ABRAAO DE MORAIS
2024-01-19,Zona Sul,Vila Mariana,4,Inativo Transitável,S PAULO/SANTOS,R FREI ROLIM,19:19:00,19:29:00,AV PROF ABRAAO DE MORAIS
2024-01-23,Zona Sul,Capela do Socorro,1,Inativo Transitável,AMBOS,R PROF FRANCISCO MARQUES OLIVEIRA JR.,09:11:00,09:14:00,AV CARLOS BARBOSA SANTOS
2024-01-27,Zona Sul,Santo Amaro,1,Inativo Transitável,INTERLAGOS/CASTELO,R PROF CAMPOS DE OLIVEIRA,17:54:00,20:29:00,AV DAS NACOES UNIDAS
2024-01-28,Zona Sul,M'Boi Mirim,1,Inativo Transitável,AMBOS,R INDIANA,11:08:00,12:25:00,R JACUCAIM
2024-01-28,Zona Sul,Ipiranga,1,Inativo Intransitável,AMBOS,AV PROF ASCENDINO REIS,11:47:00,12:06:00,PC JUCA MULATO
2024-01-28,Zona Sul,Vila Mariana,2,Inativo Intransitável,BAIRRO/CENTRO,AV JAMARIS,11:01:00,11:19:00,AV IBIRAPUERA
2024-01-28,Zona Sul,Vila Mariana,2,Inativo Transitável,AMBOS,AV PROF ABRAAO DE MORAIS,11:07:00,13:14:00,AV MIGUEL ESTEFNO
2024-01-31,Zona Sul,Cidade Ademar,1,Inativo Intransitável,UNICO,R MIGUEL YUNES,15:49:00,16:35:00,AV NSRA.DE SABARA
2024-01-31,Zona Sul,Santo Amaro,1,Inativo Transitável,CENTRO/BAIRRO,AV YERVANT KISSAJIKIAN,15:11:00,15:42:00,AV INTERLAGOS
2024-02-02,Zona Sul,Vila Mariana,1,Inativo Transitável,BAIRRO/CENTRO,AV PEDRO ALVARES CABRAL,13:01:00,16:17:00,PC TULIO FONTOURA
2024-02-04,Zona Sul,Capela do Socorro,1,Inativo Intransitável,CENTRO/BAIRRO,R FERDINANDO FORINO,15:26:00,16:31:00,R ESTEVAO FABRI
2024-02-04,Zona Sul,Vila Mariana,2,Inativo Intransitável,AEROPORTO/SANTANA,AV JUREMA,14:22:00,16:32:00,AV MOREIRA GUIMARAES
2024-02-04,Zona Sul,Vila Mariana,2,Inativo Transitável,SANTANA/AEROPORTO,R DR HABERBECK BRANDAO,15:05:00,16:53:00,AV RUBEM BERTA
2024-02-13,Zona Sul,Santo Amaro,3,Inativo Intransitável,CENTRO/BAIRRO,R ENG ALLYRIO HUGUENEY DE MATTOS,23:08:00,00:04:00,AV INTERLAGOS
2024-02-13,Zona Sul,Santo Amaro,3,Inativo Intransitável,INTERLAGOS/CASTELO,R CRISTALINO ROLIM DE FREITAS,23:41:00,00:54:00,AV DAS NACOES UNIDAS
2024-02-13,Zona Sul,Santo Amaro,3,Inativo Intransitável,MARGINAL/AEROPORTO,PC JOSE BLOTA JUNIOR,23:46:00,00:58:00,AV JORN ROBERTO MARINHO
2024-02-13,Zona Sul,Ipiranga,1,Inativo Transitável,AMBOS,PC DEL AMOROSO NETO,23:35:00,01:42:00,AV ORDEM E PROGRESSO
2024-02-14,Zona Sul,Campo Limpo,1,Inativo Intransitável,BAIRRO/CENTRO,R ALVES DOS SANTOS,00:15:00,00:54:00,ES DO CAMPO LIMPO
2024-02-19,Zona Sul,M'Boi Mirim,1,Inativo Transitável,CASTELO/INTERLAGOS,PTE JOAO DIAS,15:15:00,19:19:00,AV GUIDO CALOI
2024-02-19,Zona Sul,Santo Amaro,2,Inativo Transitável,INTERLAGOS/CASTELO,R JAIME DE OLIVEIRA SOUZA,16:08:00,17:54:00,AV DAS NACOES UNIDAS
2024-02-19,Zona Sul,Santo Amaro,2,Inativo Intransitável,INTERLAGOS/CASTELO,R PROF CAMPOS DE OLIVEIRA,16:28:00,16:33:00,AV DAS NACOES UNIDAS
2024-02-20,Zona Sul,M'Boi Mirim,1,Inativo Transitável,CASTELO/INTERLAGOS,AV JOAO DIAS,15:09:00,15:59:00,AV GUIDO CALOI
2024-02-20,Zona Sul,Parelheiros,1,Inativo Intransitável,AMBOS,AV JACEGUAVA,12:53:00,12:58:00,AV SEN TEOTONIO VILELA
2024-02-20,Zona Sul,Vila Mariana,2,Inativo Transitável,V MARIANA/PINHEIROS,R ABILIO SOARES,14:29:00,15:18:00,AV PEDRO ALVARES CABRAL
2024-02-20,Zona Sul,Vila Mariana,2,Inativo Transitável,V MARIANA/PINHEIROS,AV DR DANTE PAZZANESE,14:35:00,15:09:00,AV PEDRO ALVARES CABRAL
2024-02-23,Zona Sul,M'Boi Mirim,2,Inativo Intransitável,BAIRRO/CENTRO,AV COMEN SANT'ANNA,17:34:00,18:22:00,R MARGINAL (JD MARIANI)
2024-02-23,Zona Sul,M'Boi Mirim,2,Ativo Transitável,CENTRO/BAIRRO,R CLAMECY,19:44:00,21:44:00,ES M'BOI MIRIM
2024-02-23,Zona Sul,Ipiranga,1,Inativo Intransitável,CENTRO/BAIRRO,AV DO ESTADO,16:57:00,18:00:00,R PRES BATISTA PEREIRA
2024-03-05,Zona Sul,Santo Amaro,1,Inativo Intransitável,CENTRO/BAIRRO,R DOS BRASOES,20:04:00,21:49:00,AV STO AMARO
2024-03-05,Zona Sul,Vila Mariana,3,Inativo Intransitável,IBIRAPUERA/MARGINAL,R BANDEIRA PAULISTA,19:56:00,21:04:00,AV ANTONIO J. DE MOURA ANDRADE
2024-03-05,Zona Sul,Vila Mariana,3,Inativo Intransitável,UNICO,AV IBIRAPUERA,20:00:00,20:34:00,AV JAMARIS
2024-03-05,Zona Sul,Vila Mariana,3,Inativo Intransitável,AMBOS,PC JANETE CLAIR,20:11:00,20:28:00,AV PROF ASCENDINO REIS
2024-03-06,Zona Sul,Santo Amaro,1,Inativo Transitável,INTERLAGOS/CASTELO,R ACARI,06:30:00,06:49:00,AV DAS NACOES UNIDAS
2024-03-08,Zona Sul,Campo Limpo,1,Inativo Intransitável,AMBOS,R TULIO MUGNAINI,16:50:00,17:10:00,AV CARLOS CALDEIRA FILHO
2024-03-08,Zona Sul,Santo Amaro,2,Inativo Transitável,IMIGRANTES/MARGINAL,VD DOS BANDEIRANTES-DR ANTONIO MARCONDES DE ALMEIDA,15:46:00,16:12:00,AV DOS BANDEIRANTES
2024-03-08,Zona Sul,Santo Amaro,2,Inativo Intransitável,AMBOS,R ELIAS ANTONIO ZOGBI,16:43:00,17:29:00,AV VITOR MANZINI
2024-03-08,Zona Sul,Ipiranga,2,Inativo Intransitável,UNICO,R PRES COSTA PINTO,15:38:00,16:25:00,R PRES BATISTA PEREIRA
2024-03-08,Zona Sul,Ipiranga,2,Inativo Intransitável,AMBOS,R PRES COSTA PINTO,15:41:00,15:56:00,R PRES BATISTA PEREIRA
2024-03-08,Zona Sul,Vila Mariana,2,Inativo Transitável,AEROPORTO/SANTANA,R TUTOIA,15:23:00,15:30:00,AV VINTE E TRES DE MAIO
2024-03-08,Zona Sul,Vila Mariana,2,Inativo Transitável,SANTANA/AEROPORTO,VD GAL EUCLIDES DE FIGUEIREDO,15:29:00,15:40:00,AV VINTE E TRES DE MAIO
2024-03-18,Zona Sul,Capela do Socorro,1,Inativo Transitável,CENTRO/BAIRRO,R ANGELO SANTI,15:45:00,20:30:00,PC HIROSHI SHIOZAWA
2024-05-27,Zona Sul,Vila Mariana,1,Inativo Transitável,SANTANA/AEROPORTO,CV JOAO JORGE SAAD,05:20:00,05:40:00,AV VINTE E TRES DE MAIO
2024-07-09,Zona Sul,Campo Limpo,1,Inativo Transitável,NAO INFORMADO,R PROF INDALECIO DE MELO,22:00:00,22:41:00,R ALVES DOS SANTOS
